vi	V(si)	I(Si)
-5.000000000000000e+000	-5.000000e+000	-2.525001e-009
-4.990000000000000e+000	-4.989999e+000	-2.524991e-009
-4.980000000000000e+000	-4.980000e+000	-2.524980e-009
-4.970000000000001e+000	-4.969999e+000	-2.524971e-009
-4.960000000000001e+000	-4.960000e+000	-2.524961e-009
-4.950000000000001e+000	-4.949999e+000	-2.524950e-009
-4.940000000000001e+000	-4.940000e+000	-2.524941e-009
-4.930000000000002e+000	-4.929999e+000	-2.524930e-009
-4.920000000000002e+000	-4.920000e+000	-2.524921e-009
-4.910000000000002e+000	-4.909999e+000	-2.524911e-009
-4.900000000000002e+000	-4.900000e+000	-2.524901e-009
-4.890000000000002e+000	-4.889999e+000	-2.524891e-009
-4.880000000000003e+000	-4.880000e+000	-2.524880e-009
-4.870000000000003e+000	-4.869999e+000	-2.524871e-009
-4.860000000000003e+000	-4.860000e+000	-2.524861e-009
-4.850000000000003e+000	-4.849999e+000	-2.524850e-009
-4.840000000000003e+000	-4.840000e+000	-2.524841e-009
-4.830000000000004e+000	-4.829999e+000	-2.524830e-009
-4.820000000000004e+000	-4.820000e+000	-2.524821e-009
-4.810000000000004e+000	-4.809999e+000	-2.524811e-009
-4.800000000000004e+000	-4.800000e+000	-2.524800e-009
-4.790000000000005e+000	-4.789999e+000	-2.524791e-009
-4.780000000000005e+000	-4.780000e+000	-2.524780e-009
-4.770000000000005e+000	-4.770000e+000	-2.524771e-009
-4.760000000000005e+000	-4.759999e+000	-2.524761e-009
-4.750000000000005e+000	-4.750000e+000	-2.524750e-009
-4.740000000000006e+000	-4.739999e+000	-2.524741e-009
-4.730000000000006e+000	-4.730000e+000	-2.524730e-009
-4.720000000000006e+000	-4.719999e+000	-2.524721e-009
-4.710000000000006e+000	-4.710000e+000	-2.524711e-009
-4.700000000000006e+000	-4.699999e+000	-2.524700e-009
-4.690000000000007e+000	-4.690000e+000	-2.524691e-009
-4.680000000000007e+000	-4.679999e+000	-2.524680e-009
-4.670000000000007e+000	-4.670000e+000	-2.524671e-009
-4.660000000000007e+000	-4.659999e+000	-2.524661e-009
-4.650000000000008e+000	-4.650000e+000	-2.524650e-009
-4.640000000000008e+000	-4.639999e+000	-2.524641e-009
-4.630000000000008e+000	-4.630000e+000	-2.524630e-009
