vi	V(si)	Ix(Zener2:+)
-5.000000000000000e+000	-3.884891e+000	-5.575551e-003
-4.990000000000000e+000	-3.884663e+000	-5.526689e-003
-4.980000000000000e+000	-3.884433e+000	-5.477837e-003
-4.970000000000001e+000	-3.884201e+000	-5.428995e-003
-4.960000000000001e+000	-3.883967e+000	-5.380164e-003
-4.950000000000001e+000	-3.883731e+000	-5.331343e-003
-4.940000000000001e+000	-3.883493e+000	-5.282532e-003
-4.930000000000002e+000	-3.883254e+000	-5.233733e-003
-4.920000000000002e+000	-3.883011e+000	-5.184944e-003
-4.910000000000002e+000	-3.882767e+000	-5.136166e-003
-4.900000000000002e+000	-3.882520e+000	-5.087400e-003
-4.890000000000002e+000	-3.882271e+000	-5.038646e-003
-4.880000000000003e+000	-3.882020e+000	-4.989902e-003
-4.870000000000003e+000	-3.881766e+000	-4.941172e-003
-4.860000000000003e+000	-3.881509e+000	-4.892453e-003
-4.850000000000003e+000	-3.881251e+000	-4.843747e-003
-4.840000000000003e+000	-3.880989e+000	-4.795054e-003
-4.830000000000004e+000	-3.880725e+000	-4.746373e-003
-4.820000000000004e+000	-3.880459e+000	-4.697706e-003
-4.810000000000004e+000	-3.880189e+000	-4.649053e-003
-4.800000000000004e+000	-3.879917e+000	-4.600413e-003
-4.790000000000005e+000	-3.879642e+000	-4.551787e-003
-4.780000000000005e+000	-3.879365e+000	-4.503176e-003
-4.770000000000005e+000	-3.879084e+000	-4.454579e-003
-4.760000000000005e+000	-3.878801e+000	-4.405997e-003
-4.750000000000005e+000	-3.878514e+000	-4.357431e-003
-4.740000000000006e+000	-3.878224e+000	-4.308879e-003
-4.730000000000006e+000	-3.877931e+000	-4.260344e-003
-4.720000000000006e+000	-3.877635e+000	-4.211826e-003
-4.710000000000006e+000	-3.877335e+000	-4.163323e-003
-4.700000000000006e+000	-3.877032e+000	-4.114838e-003
-4.690000000000007e+000	-3.876726e+000	-4.066371e-003
-4.680000000000007e+000	-3.876416e+000	-4.017921e-003
-4.670000000000007e+000	-3.876102e+000	-3.969489e-003
-4.660000000000007e+000	-3.875785e+000	-3.921076e-003
-4.650000000000008e+000	-3.875463e+000	-3.872682e-003
-4.640000000000008e+000	-3.875139e+000	-3.824308e-003
-4.630000000000008e+000	-3.874809e+000	-3.775954e-003
-4.620000000000008e+000	-3.874476e+000	-3.727620e-003
-4.610000000000008e+000	-3.874139e+000	-3.679307e-003
-4.600000000000009e+000	-3.873797e+000	-3.631015e-003
-4.590000000000009e+000	-3.873451e+000	-3.582746e-003
-4.580000000000009e+000	-3.873100e+000	-3.534500e-003
-4.570000000000009e+000	-3.872745e+000	-3.486276e-003
-4.560000000000009e+000	-3.872385e+000	-3.438076e-003
-4.550000000000010e+000	-3.872020e+000	-3.389901e-003
-4.540000000000010e+000	-3.871650e+000	-3.341752e-003
-4.530000000000010e+000	-3.871274e+000	-3.293627e-003
-4.520000000000010e+000	-3.870894e+000	-3.245530e-003
-4.510000000000010e+000	-3.870508e+000	-3.197460e-003
-4.500000000000011e+000	-3.870116e+000	-3.149418e-003
-4.490000000000011e+000	-3.869719e+000	-3.101404e-003
-4.480000000000011e+000	-3.869316e+000	-3.053421e-003
-4.470000000000011e+000	-3.868906e+000	-3.005468e-003
-4.460000000000012e+000	-3.868491e+000	-2.957547e-003
