vi	V(si)	Ix(Schottky2:+)
-5.000000000000000e+000	-4.999997e+000	-1.362432e-008
-4.990000000000000e+000	-4.989997e+000	-1.362346e-008
-4.980000000000000e+000	-4.979997e+000	-1.362259e-008
-4.970000000000001e+000	-4.969997e+000	-1.362173e-008
-4.960000000000001e+000	-4.959997e+000	-1.362086e-008
-4.950000000000001e+000	-4.949997e+000	-1.361999e-008
-4.940000000000001e+000	-4.939997e+000	-1.361912e-008
-4.930000000000002e+000	-4.929997e+000	-1.361826e-008
-4.920000000000002e+000	-4.919997e+000	-1.361739e-008
-4.910000000000002e+000	-4.909997e+000	-1.361652e-008
-4.900000000000002e+000	-4.899997e+000	-1.361566e-008
-4.890000000000002e+000	-4.889997e+000	-1.361479e-008
-4.880000000000003e+000	-4.879997e+000	-1.361393e-008
-4.870000000000003e+000	-4.869998e+000	-1.361306e-008
-4.860000000000003e+000	-4.859997e+000	-1.361219e-008
-4.850000000000003e+000	-4.849997e+000	-1.361132e-008
-4.840000000000003e+000	-4.839997e+000	-1.361046e-008
-4.830000000000004e+000	-4.829997e+000	-1.360959e-008
-4.820000000000004e+000	-4.819997e+000	-1.360872e-008
-4.810000000000004e+000	-4.809997e+000	-1.360785e-008
-4.800000000000004e+000	-4.799997e+000	-1.360698e-008
-4.790000000000005e+000	-4.789997e+000	-1.360612e-008
-4.780000000000005e+000	-4.779997e+000	-1.360525e-008
-4.770000000000005e+000	-4.769997e+000	-1.360438e-008
-4.760000000000005e+000	-4.759997e+000	-1.360351e-008
-4.750000000000005e+000	-4.749997e+000	-1.360264e-008
-4.740000000000006e+000	-4.739997e+000	-1.360177e-008
-4.730000000000006e+000	-4.729997e+000	-1.360090e-008
-4.720000000000006e+000	-4.719997e+000	-1.360003e-008
-4.710000000000006e+000	-4.709997e+000	-1.359916e-008
-4.700000000000006e+000	-4.699997e+000	-1.359829e-008
-4.690000000000007e+000	-4.689997e+000	-1.359742e-008
-4.680000000000007e+000	-4.679997e+000	-1.359655e-008
