vi	I(D)
Step Information: Temp=0  (Run: 1/6)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-002	5.227095e-011
2.000000000000000e-002	1.188831e-010
3.000000000000000e-002	2.037721e-010
4.000000000000000e-002	3.119532e-010
5.000000000000000e-002	4.498181e-010
6.000000000000001e-002	6.255126e-010
7.000000000000001e-002	8.494177e-010
8.000000000000000e-002	1.134763e-009
9.000000000000000e-002	1.498409e-009
9.999999999999999e-002	1.961841e-009
1.100000000000000e-001	2.552442e-009
1.200000000000000e-001	3.305110e-009
1.300000000000000e-001	4.264314e-009
1.400000000000000e-001	5.486732e-009
1.500000000000000e-001	7.044588e-009
1.600000000000000e-001	9.029926e-009
1.700000000000000e-001	1.156004e-008
1.800000000000000e-001	1.478442e-008
1.900000000000000e-001	1.889354e-008
2.000000000000000e-001	2.413015e-008
2.100000000000001e-001	3.080358e-008
2.200000000000001e-001	3.930800e-008
2.300000000000001e-001	5.014565e-008
2.400000000000001e-001	6.395651e-008
2.500000000000001e-001	8.155593e-008
2.600000000000001e-001	1.039828e-007
2.700000000000001e-001	1.325603e-007
2.800000000000001e-001	1.689743e-007
2.900000000000001e-001	2.153714e-007
3.000000000000001e-001	2.744855e-007
3.100000000000001e-001	3.497969e-007
3.200000000000001e-001	4.457348e-007
3.300000000000001e-001	5.679348e-007
3.400000000000001e-001	7.235630e-007
3.500000000000001e-001	9.217273e-007
3.600000000000002e-001	1.173994e-006
3.700000000000002e-001	1.495039e-006
3.800000000000002e-001	1.903458e-006
3.900000000000002e-001	2.422781e-006
4.000000000000002e-001	3.082719e-006
4.100000000000002e-001	3.920700e-006
4.200000000000002e-001	4.983721e-006
4.300000000000002e-001	6.330562e-006
4.400000000000002e-001	8.034373e-006
4.500000000000002e-001	1.018561e-005
4.600000000000002e-001	1.289528e-005
4.700000000000003e-001	1.629819e-005
4.800000000000003e-001	2.055618e-005
4.900000000000003e-001	2.586049e-005
5.000000000000002e-001	3.243306e-005
5.100000000000002e-001	4.052557e-005
5.200000000000002e-001	5.041577e-005
5.300000000000003e-001	6.240014e-005
5.400000000000003e-001	7.678290e-005
5.500000000000003e-001	9.386164e-005
5.600000000000003e-001	1.139110e-004
5.700000000000003e-001	1.371663e-004
5.800000000000003e-001	1.638101e-004
5.900000000000003e-001	1.939626e-004
6.000000000000003e-001	2.276782e-004
6.100000000000003e-001	2.649480e-004
6.200000000000003e-001	3.057066e-004
6.300000000000003e-001	3.498423e-004
6.400000000000004e-001	3.972085e-004
6.500000000000004e-001	4.476347e-004
6.600000000000004e-001	5.009369e-004
6.700000000000004e-001	5.569256e-004
6.800000000000004e-001	6.154120e-004
6.900000000000004e-001	6.762128e-004
7.000000000000004e-001	7.391535e-004
7.100000000000004e-001	8.040697e-004
7.200000000000004e-001	8.708083e-004
7.300000000000004e-001	9.392279e-004
7.400000000000004e-001	1.009199e-003
7.500000000000004e-001	1.080602e-003
7.600000000000005e-001	1.153328e-003
7.700000000000005e-001	1.227279e-003
7.800000000000005e-001	1.302364e-003
7.900000000000005e-001	1.378501e-003
8.000000000000005e-001	1.455616e-003
8.100000000000005e-001	1.533640e-003
8.200000000000005e-001	1.612511e-003
8.300000000000005e-001	1.692173e-003
8.400000000000005e-001	1.772573e-003
8.500000000000005e-001	1.853665e-003
8.600000000000005e-001	1.935406e-003
8.700000000000006e-001	2.017754e-003
8.800000000000006e-001	2.100675e-003
8.900000000000006e-001	2.184134e-003
9.000000000000006e-001	2.268100e-003
9.100000000000006e-001	2.352546e-003
9.200000000000006e-001	2.437443e-003
9.300000000000006e-001	2.522769e-003
9.400000000000006e-001	2.608501e-003
9.500000000000006e-001	2.694617e-003
9.600000000000006e-001	2.781098e-003
