time	V(vo)
0.000000000000000e+000	0.000000e+000
5.778864978152796e-005	-2.683916e-009
1.155772995630559e-004	-3.607199e-009
1.733659493445839e-004	-2.769849e-009
2.311545991261119e-004	-1.718673e-010
2.889432489076398e-004	4.186747e-009
3.467318986891678e-004	1.030599e-008
4.045205484706956e-004	1.818587e-008
4.405818853963420e-004	5.207995e-008
4.581088048042545e-004	8.758372e-008
4.765165263905929e-004	1.515232e-007
4.941757445042313e-004	2.569231e-007
5.123801018246423e-004	4.429419e-007
5.301480007016015e-004	7.542118e-007
5.482584657717322e-004	1.297047e-006
5.661166238793431e-004	2.213759e-006
5.841924101572602e-004	3.801031e-006
6.021252320774854e-004	6.496482e-006
6.201993794470948e-004	1.114349e-005
6.381967184994743e-004	1.906147e-005
6.562900419384587e-004	3.267659e-005
6.743483465865739e-004	5.592230e-005
6.924782547524775e-004	9.582989e-005
7.106035864186905e-004	1.640470e-004
7.287943870904600e-004	2.810401e-004
7.470135701980256e-004	4.811479e-004
7.653192449355138e-004	8.240606e-004
7.837156127660586e-004	1.410636e-003
8.022845318567406e-004	2.414899e-003
8.211100958090215e-004	4.131904e-003
8.403889710200977e-004	7.069253e-003
8.604448299787483e-004	1.209573e-002
8.819091981404561e-004	2.073496e-002
9.061863236613024e-004	3.588547e-002
9.369797335652722e-004	6.387965e-002
9.809453546785235e-004	1.158608e-001
1.028736770945476e-003	1.811874e-001
1.082370035605702e-003	2.589424e-001
1.154423236066131e-003	3.643930e-001
1.354423236066131e-003	6.534327e-001
1.554423236066131e-003	9.347275e-001
1.854423236066132e-003	1.339434e+000
2.154423236066131e-003	1.720271e+000
2.454423236066131e-003	2.073864e+000
2.754423236066130e-003	2.397095e+000
3.054423236066129e-003	2.687138e+000
3.354423236066129e-003	2.941478e+000
3.654423236066128e-003	3.157949e+000
3.954423236066128e-003	3.334749e+000
4.254423236066129e-003	3.470479e+000
4.554423236066130e-003	3.564168e+000
4.854423236066130e-003	3.615319e+000
5.054423236066131e-003	3.625784e+000
5.154423236066131e-003	3.623975e+000
5.254423236066131e-003	3.617515e+000
5.454423236066132e-003	3.590832e+000
5.654423236066132e-003	3.546244e+000
5.854423236066133e-003	3.484518e+000
5.954423236066133e-003	3.447563e+000
6.054423236066133e-003	3.406782e+000
6.154423236066134e-003	3.362401e+000
6.254423236066134e-003	3.314690e+000
6.354423236066134e-003	3.263976e+000
6.454423236066135e-003	3.210645e+000
6.554423236066135e-003	3.155145e+000
6.654423236066135e-003	3.097981e+000
6.754423236066135e-003	3.039689e+000
6.854423236066136e-003	2.980806e+000
6.954423236066136e-003	2.921834e+000
7.054423236066136e-003	2.863199e+000
7.154423236066136e-003	2.805225e+000
7.254423236066137e-003	2.748135e+000
7.354423236066137e-003	2.692057e+000
7.454423236066137e-003	2.637053e+000
7.554423236066137e-003	2.583144e+000
7.654423236066138e-003	2.530325e+000
7.754423236066138e-003	2.478582e+000
7.854423236066138e-003	2.427896e+000
7.954423236066138e-003	2.378246e+000
8.054423236066137e-003	2.329611e+000
8.154423236066136e-003	2.281971e+000
8.254423236066136e-003	2.235304e+000
8.354423236066135e-003	2.189593e+000
8.454423236066135e-003	2.144816e+000
8.554423236066134e-003	2.100955e+000
8.654423236066133e-003	2.057990e+000
8.754423236066133e-003	2.015904e+000
8.854423236066132e-003	1.974679e+000
8.954423236066132e-003	1.934298e+000
9.054423236066131e-003	1.894741e+000
9.254423236066130e-003	1.818039e+000
9.554423236066128e-003	1.708768e+000
9.711566093208984e-003	1.654310e+000
9.868708950351841e-003	1.601462e+000
1.002585180749470e-002	1.550224e+000
1.018299466463755e-002	1.500596e+000
1.034013752178041e-002	1.452578e+000
1.049728037892327e-002	1.406169e+000
1.065442323606612e-002	1.361371e+000
1.075442323606612e-002	1.333531e+000
1.085442323606612e-002	1.306260e+000
1.095442323606612e-002	1.279547e+000
1.105442323606612e-002	1.253381e+000
1.115442323606612e-002	1.227749e+000
1.125442323606612e-002	1.202643e+000
1.135442323606612e-002	1.178070e+000
1.145442323606612e-002	1.154473e+000
1.155442323606612e-002	1.138160e+000
1.165442323606612e-002	1.152765e+000
1.175442323606612e-002	1.223521e+000
1.185442323606611e-002	1.339782e+000
1.195442323606611e-002	1.469067e+000
1.225442323606611e-002	1.841324e+000
1.255442323606611e-002	2.185127e+000
1.285442323606611e-002	2.497595e+000
1.315442323606611e-002	2.775999e+000
1.345442323606610e-002	3.017940e+000
1.375442323606610e-002	3.221368e+000
1.405442323606610e-002	3.384613e+000
1.435442323606610e-002	3.506415e+000
1.465442323606610e-002	3.585955e+000
1.495442323606610e-002	3.622907e+000
1.505442323606610e-002	3.625784e+000
1.515442323606609e-002	3.623975e+000
1.525442323606609e-002	3.617515e+000
1.545442323606609e-002	3.590832e+000
1.565442323606609e-002	3.546244e+000
1.585442323606609e-002	3.484518e+000
1.595442323606609e-002	3.447563e+000
1.605442323606609e-002	3.406782e+000
1.615442323606609e-002	3.362401e+000
1.625442323606609e-002	3.314690e+000
1.635442323606609e-002	3.263976e+000
1.645442323606609e-002	3.210645e+000
1.655442323606609e-002	3.155145e+000
1.665442323606609e-002	3.097981e+000
1.675442323606608e-002	3.039689e+000
1.685442323606608e-002	2.980806e+000
1.695442323606608e-002	2.921834e+000
1.705442323606608e-002	2.863199e+000
1.715442323606608e-002	2.805225e+000
1.725442323606608e-002	2.748135e+000
1.735442323606608e-002	2.692057e+000
1.745442323606608e-002	2.637053e+000
1.755442323606608e-002	2.583144e+000
1.765442323606608e-002	2.530325e+000
1.775442323606608e-002	2.478582e+000
1.785442323606608e-002	2.427896e+000
1.795442323606608e-002	2.378246e+000
1.805442323606608e-002	2.329611e+000
1.815442323606608e-002	2.281971e+000
1.825442323606608e-002	2.235304e+000
1.835442323606608e-002	2.189593e+000
1.845442323606607e-002	2.144816e+000
1.855442323606607e-002	2.100955e+000
1.865442323606607e-002	2.057990e+000
1.875442323606607e-002	2.015904e+000
1.885442323606607e-002	1.974679e+000
1.895442323606607e-002	1.934298e+000
1.905442323606607e-002	1.894741e+000
1.925442323606607e-002	1.818039e+000
1.955442323606607e-002	1.708768e+000
1.971156609320892e-002	1.654310e+000
1.986870895035178e-002	1.601462e+000
2.002585180749463e-002	1.550224e+000
2.018299466463749e-002	1.500596e+000
2.034013752178035e-002	1.452578e+000
2.049728037892321e-002	1.406169e+000
2.065442323606606e-002	1.361371e+000
2.075442323606606e-002	1.333531e+000
2.085442323606606e-002	1.306260e+000
2.095442323606606e-002	1.279547e+000
2.105442323606606e-002	1.253381e+000
2.115442323606606e-002	1.227749e+000
2.125442323606606e-002	1.202643e+000
2.135442323606606e-002	1.178070e+000
2.145442323606606e-002	1.154473e+000
2.155442323606606e-002	1.138160e+000
2.165442323606606e-002	1.152765e+000
2.175442323606605e-002	1.223521e+000
2.185442323606605e-002	1.339782e+000
2.195442323606605e-002	1.469067e+000
2.225442323606605e-002	1.841324e+000
2.255442323606605e-002	2.185127e+000
2.285442323606605e-002	2.497595e+000
2.315442323606605e-002	2.775999e+000
2.345442323606604e-002	3.017940e+000
2.375442323606604e-002	3.221368e+000
2.405442323606604e-002	3.384613e+000
2.435442323606604e-002	3.506415e+000
2.465442323606604e-002	3.585955e+000
2.495442323606604e-002	3.622907e+000
2.505442323606603e-002	3.625784e+000
2.515442323606603e-002	3.623975e+000
2.525442323606603e-002	3.617515e+000
2.545442323606603e-002	3.590832e+000
2.565442323606603e-002	3.546244e+000
2.585442323606603e-002	3.484518e+000
2.595442323606603e-002	3.447563e+000
2.605442323606603e-002	3.406782e+000
2.615442323606603e-002	3.362401e+000
2.625442323606603e-002	3.314690e+000
2.635442323606603e-002	3.263976e+000
2.645442323606603e-002	3.210645e+000
2.655442323606603e-002	3.155145e+000
2.665442323606602e-002	3.097981e+000
2.675442323606602e-002	3.039689e+000
2.685442323606602e-002	2.980806e+000
2.695442323606602e-002	2.921834e+000
2.705442323606602e-002	2.863199e+000
2.715442323606602e-002	2.805225e+000
2.725442323606602e-002	2.748135e+000
2.735442323606602e-002	2.692057e+000
2.745442323606602e-002	2.637053e+000
2.755442323606602e-002	2.583144e+000
2.765442323606602e-002	2.530325e+000
2.775442323606602e-002	2.478582e+000
2.785442323606602e-002	2.427896e+000
2.795442323606602e-002	2.378246e+000
2.805442323606602e-002	2.329611e+000
2.815442323606602e-002	2.281971e+000
2.825442323606602e-002	2.235304e+000
2.835442323606601e-002	2.189593e+000
2.845442323606601e-002	2.144816e+000
2.855442323606601e-002	2.100955e+000
2.865442323606601e-002	2.057990e+000
2.875442323606601e-002	2.015904e+000
2.885442323606601e-002	1.974679e+000
2.895442323606601e-002	1.934298e+000
