v2	I(Dred1)
0.000000000000000e+00	-6.586103e-44
1.000000000000000e-02	1.109215e-14
2.000000000000000e-02	2.230358e-14
3.000000000000000e-02	3.364731e-14
4.000000000000000e-02	4.513780e-14
5.000000000000000e-02	5.679107e-14
6.000000000000000e-02	6.862490e-14
7.000000000000001e-02	8.065902e-14
8.000000000000000e-02	9.291529e-14
9.000000000000000e-02	1.054180e-13
9.999999999999999e-02	1.181940e-13
1.100000000000000e-01	1.312732e-13
1.200000000000000e-01	1.446887e-13
1.300000000000000e-01	1.584772e-13
1.400000000000000e-01	1.726795e-13
1.500000000000000e-01	1.873408e-13
1.600000000000000e-01	2.025111e-13
1.700000000000000e-01	2.182460e-13
1.800000000000000e-01	2.346074e-13
1.900000000000000e-01	2.516635e-13
2.000000000000000e-01	2.694902e-13
2.100000000000000e-01	2.881717e-13
2.200000000000001e-01	3.078014e-13
2.300000000000001e-01	3.284827e-13
2.400000000000001e-01	3.503307e-13
2.500000000000001e-01	3.734725e-13
2.600000000000001e-01	3.980497e-13
2.700000000000001e-01	4.242190e-13
2.800000000000001e-01	4.521541e-13
2.900000000000001e-01	4.820480e-13
3.000000000000001e-01	5.141147e-13
3.100000000000001e-01	5.485913e-13
3.200000000000001e-01	5.857412e-13
3.300000000000001e-01	6.258562e-13
3.400000000000001e-01	6.692603e-13
3.500000000000001e-01	7.163125e-13
3.600000000000002e-01	7.674115e-13
3.700000000000002e-01	8.229990e-13
3.800000000000002e-01	8.835654e-13
3.900000000000002e-01	9.496543e-13
4.000000000000002e-01	1.021869e-12
4.100000000000002e-01	1.100879e-12
4.200000000000002e-01	1.187425e-12
4.300000000000002e-01	1.282331e-12
4.400000000000002e-01	1.386511e-12
4.500000000000002e-01	1.500976e-12
4.600000000000002e-01	1.626850e-12
4.700000000000003e-01	1.765380e-12
4.800000000000003e-01	1.917946e-12
4.900000000000003e-01	2.086084e-12
5.000000000000002e-01	2.271492e-12
5.100000000000002e-01	2.476057e-12
5.200000000000002e-01	2.701872e-12
5.300000000000002e-01	2.951257e-12
5.400000000000003e-01	3.226786e-12
5.500000000000003e-01	3.531316e-12
5.600000000000003e-01	3.868012e-12
5.700000000000003e-01	4.240388e-12
5.800000000000003e-01	4.652341e-12
5.900000000000003e-01	5.108193e-12
6.000000000000003e-01	5.612739e-12
6.100000000000003e-01	6.171297e-12
6.200000000000003e-01	6.789765e-12
6.300000000000003e-01	7.474688e-12
6.400000000000003e-01	8.233321e-12
6.500000000000004e-01	9.073717e-12
6.600000000000004e-01	1.000480e-11
6.700000000000004e-01	1.103649e-11
6.800000000000004e-01	1.217975e-11
6.900000000000004e-01	1.344679e-11
7.000000000000004e-01	1.485111e-11
7.100000000000004e-01	1.640772e-11
7.200000000000004e-01	1.813323e-11
7.300000000000004e-01	2.004611e-11
7.400000000000004e-01	2.216681e-11
7.500000000000004e-01	2.451802e-11
7.600000000000005e-01	2.712494e-11
7.700000000000005e-01	3.001547e-11
7.800000000000005e-01	3.322061e-11
7.900000000000005e-01	3.677469e-11
8.000000000000005e-01	4.071585e-11
8.100000000000005e-01	4.508634e-11
8.200000000000005e-01	4.993307e-11
8.300000000000005e-01	5.530804e-11
8.400000000000005e-01	6.126894e-11
8.500000000000005e-01	6.787977e-11
8.600000000000005e-01	7.521151e-11
8.700000000000006e-01	8.334289e-11
8.800000000000006e-01	9.236124e-11
8.900000000000006e-01	1.023635e-10
9.000000000000006e-01	1.134569e-10
9.100000000000006e-01	1.257609e-10
9.200000000000006e-01	1.394076e-10
9.300000000000006e-01	1.545436e-10
9.400000000000006e-01	1.713316e-10
9.500000000000006e-01	1.899519e-10
9.600000000000006e-01	2.106049e-10
9.700000000000006e-01	2.335123e-10
9.800000000000006e-01	2.589204e-10
9.900000000000007e-01	2.871024e-10
1.000000000000001e+00	3.183613e-10
1.010000000000001e+00	3.530329e-10
1.020000000000001e+00	3.914901e-10
1.030000000000001e+00	4.341463e-10
1.040000000000001e+00	4.814601e-10
1.050000000000001e+00	5.339402e-10
1.060000000000001e+00	5.921508e-10
1.070000000000001e+00	6.567177e-10
1.080000000000001e+00	7.283352e-10
1.090000000000001e+00	8.077733e-10
1.100000000000001e+00	8.958861e-10
1.110000000000001e+00	9.936211e-10
1.120000000000001e+00	1.102029e-09
1.130000000000001e+00	1.222276e-09
1.140000000000001e+00	1.355654e-09
1.150000000000001e+00	1.503597e-09
1.160000000000001e+00	1.667698e-09
1.170000000000001e+00	1.849719e-09
1.180000000000001e+00	2.051619e-09
1.190000000000001e+00	2.275568e-09
1.200000000000001e+00	2.523974e-09
1.210000000000001e+00	2.799509e-09
1.220000000000001e+00	3.105135e-09
1.230000000000001e+00	3.444139e-09
1.240000000000001e+00	3.820165e-09
1.250000000000001e+00	4.237257e-09
1.260000000000001e+00	4.699901e-09
1.270000000000001e+00	5.213071e-09
1.280000000000001e+00	5.782285e-09
1.290000000000001e+00	6.413663e-09
1.300000000000001e+00	7.113996e-09
1.310000000000001e+00	7.890812e-09
1.320000000000001e+00	8.752466e-09
1.330000000000001e+00	9.708223e-09
1.340000000000001e+00	1.076836e-08
1.350000000000001e+00	1.194427e-08
1.360000000000001e+00	1.324861e-08
1.370000000000001e+00	1.469540e-08
1.380000000000001e+00	1.630019e-08
1.390000000000001e+00	1.808024e-08
1.400000000000001e+00	2.005469e-08
1.410000000000001e+00	2.224476e-08
1.420000000000001e+00	2.467402e-08
1.430000000000001e+00	2.736857e-08
1.440000000000001e+00	3.035738e-08
1.450000000000001e+00	3.367260e-08
1.460000000000001e+00	3.734985e-08
1.470000000000001e+00	4.142869e-08
1.480000000000001e+00	4.595295e-08
1.490000000000001e+00	5.097128e-08
1.500000000000001e+00	5.653763e-08
1.510000000000001e+00	6.271182e-08
1.520000000000001e+00	6.956024e-08
1.530000000000001e+00	7.715649e-08
1.540000000000001e+00	8.558222e-08
1.550000000000001e+00	9.492798e-08
1.560000000000001e+00	1.052942e-07
1.570000000000001e+00	1.167924e-07
1.580000000000001e+00	1.295460e-07
1.590000000000001e+00	1.436920e-07
1.600000000000001e+00	1.593826e-07
1.610000000000001e+00	1.767862e-07
1.620000000000001e+00	1.960898e-07
1.630000000000001e+00	2.175007e-07
1.640000000000001e+00	2.412489e-07
1.650000000000001e+00	2.675894e-07
1.660000000000001e+00	2.968050e-07
1.670000000000001e+00	3.292093e-07
1.680000000000001e+00	3.651500e-07
1.690000000000001e+00	4.050130e-07
1.700000000000001e+00	4.492256e-07
1.710000000000001e+00	4.982622e-07
1.720000000000001e+00	5.526485e-07
1.730000000000001e+00	6.129675e-07
1.740000000000001e+00	6.798653e-07
1.750000000000001e+00	7.540585e-07
1.760000000000001e+00	8.363414e-07
1.770000000000001e+00	9.275944e-07
1.780000000000001e+00	1.028793e-06
1.790000000000001e+00	1.141020e-06
1.800000000000001e+00	1.265473e-06
1.810000000000001e+00	1.403480e-06
1.820000000000001e+00	1.556514e-06
1.830000000000001e+00	1.726205e-06
1.840000000000001e+00	1.914358e-06
1.850000000000001e+00	2.122976e-06
1.860000000000001e+00	2.354271e-06
1.870000000000001e+00	2.610698e-06
1.880000000000001e+00	2.894972e-06
1.890000000000001e+00	3.210097e-06
1.900000000000001e+00	3.559398e-06
1.910000000000001e+00	3.946554e-06
1.920000000000001e+00	4.375629e-06
1.930000000000001e+00	4.851121e-06
1.940000000000002e+00	5.377997e-06
1.950000000000002e+00	5.961746e-06
1.960000000000002e+00	6.608426e-06
1.970000000000002e+00	7.324723e-06
1.980000000000002e+00	8.118014e-06
1.990000000000002e+00	8.996427e-06
2.000000000000001e+00	9.968916e-06
2.010000000000001e+00	1.104534e-05
2.020000000000001e+00	1.223654e-05
2.030000000000001e+00	1.355442e-05
2.040000000000000e+00	1.501206e-05
2.050000000000000e+00	1.662381e-05
2.060000000000000e+00	1.840536e-05
2.070000000000000e+00	2.037388e-05
2.080000000000000e+00	2.254814e-05
2.089999999999999e+00	2.494858e-05
2.099999999999999e+00	2.759746e-05
2.109999999999999e+00	3.051895e-05
2.119999999999999e+00	3.373927e-05
2.129999999999999e+00	3.728674e-05
2.139999999999998e+00	4.119193e-05
2.149999999999998e+00	4.548770e-05
2.159999999999998e+00	5.020931e-05
2.169999999999998e+00	5.539439e-05
2.179999999999997e+00	6.108305e-05
2.189999999999997e+00	6.731778e-05
2.199999999999997e+00	7.414346e-05
2.209999999999997e+00	8.160723e-05
2.219999999999997e+00	8.975837e-05
2.229999999999996e+00	9.864814e-05
2.239999999999996e+00	1.083294e-04
2.249999999999996e+00	1.188566e-04
2.259999999999996e+00	1.302850e-04
2.269999999999996e+00	1.426706e-04
2.279999999999995e+00	1.560697e-04
2.289999999999995e+00	1.705380e-04
2.299999999999995e+00	1.861306e-04
2.309999999999995e+00	2.029010e-04
2.319999999999995e+00	2.209007e-04
2.329999999999994e+00	2.401788e-04
2.339999999999994e+00	2.607811e-04
2.349999999999994e+00	2.827499e-04
2.359999999999994e+00	3.061233e-04
2.369999999999993e+00	3.309351e-04
2.379999999999993e+00	3.572142e-04
2.389999999999993e+00	3.849846e-04
2.399999999999993e+00	4.142651e-04
2.409999999999993e+00	4.450690e-04
2.419999999999992e+00	4.774049e-04
2.429999999999992e+00	5.112758e-04
2.439999999999992e+00	5.466802e-04
2.449999999999992e+00	5.836118e-04
2.459999999999992e+00	6.220598e-04
2.469999999999991e+00	6.620095e-04
2.479999999999991e+00	7.034424e-04
2.489999999999991e+00	7.463370e-04
2.499999999999991e+00	7.906686e-04
2.509999999999990e+00	8.364102e-04
2.519999999999990e+00	8.835325e-04
2.529999999999990e+00	9.320047e-04
2.539999999999990e+00	9.817944e-04
2.549999999999990e+00	1.032868e-03
2.559999999999989e+00	1.085192e-03
2.569999999999989e+00	1.138731e-03
2.579999999999989e+00	1.193451e-03
2.589999999999989e+00	1.249316e-03
2.599999999999989e+00	1.306291e-03
2.609999999999988e+00	1.364343e-03
2.619999999999988e+00	1.423436e-03
2.629999999999988e+00	1.483538e-03
2.639999999999988e+00	1.544614e-03
2.649999999999987e+00	1.606634e-03
2.659999999999987e+00	1.669566e-03
2.669999999999987e+00	1.733379e-03
2.679999999999987e+00	1.798043e-03
2.689999999999987e+00	1.863530e-03
2.699999999999986e+00	1.929812e-03
2.709999999999986e+00	1.996861e-03
2.719999999999986e+00	2.064652e-03
2.729999999999986e+00	2.133160e-03
2.739999999999986e+00	2.202360e-03
2.749999999999985e+00	2.272229e-03
2.759999999999985e+00	2.342744e-03
2.769999999999985e+00	2.413884e-03
2.779999999999985e+00	2.485628e-03
2.789999999999984e+00	2.557955e-03
2.799999999999984e+00	2.630848e-03
2.809999999999984e+00	2.704286e-03
2.819999999999984e+00	2.778253e-03
2.829999999999984e+00	2.852730e-03
2.839999999999983e+00	2.927703e-03
2.849999999999983e+00	3.003154e-03
2.859999999999983e+00	3.079070e-03
2.869999999999983e+00	3.155435e-03
2.879999999999983e+00	3.232234e-03
2.889999999999982e+00	3.309456e-03
2.899999999999982e+00	3.387087e-03
2.909999999999982e+00	3.465114e-03
2.919999999999982e+00	3.543526e-03
2.929999999999982e+00	3.622311e-03
2.939999999999981e+00	3.701458e-03
2.949999999999981e+00	3.780956e-03
2.959999999999981e+00	3.860796e-03
2.969999999999981e+00	3.940967e-03
2.979999999999980e+00	4.021461e-03
2.989999999999980e+00	4.102267e-03
2.999999999999980e+00	4.183378e-03
3.009999999999980e+00	4.264785e-03
3.019999999999980e+00	4.346479e-03
3.029999999999979e+00	4.428453e-03
3.039999999999979e+00	4.510700e-03
3.049999999999979e+00	4.593211e-03
3.059999999999979e+00	4.675981e-03
3.069999999999979e+00	4.759002e-03
3.079999999999978e+00	4.842268e-03
3.089999999999978e+00	4.925773e-03
3.099999999999978e+00	5.009510e-03
3.109999999999978e+00	5.093473e-03
3.119999999999977e+00	5.177658e-03
3.129999999999977e+00	5.262059e-03
3.139999999999977e+00	5.346669e-03
3.149999999999977e+00	5.431485e-03
3.159999999999977e+00	5.516501e-03
3.169999999999976e+00	5.601713e-03
3.179999999999976e+00	5.687115e-03
3.189999999999976e+00	5.772704e-03
3.199999999999976e+00	5.858475e-03
3.209999999999976e+00	5.944424e-03
3.219999999999975e+00	6.030547e-03
3.229999999999975e+00	6.116839e-03
3.239999999999975e+00	6.203298e-03
3.249999999999975e+00	6.289920e-03
3.259999999999974e+00	6.376700e-03
3.269999999999974e+00	6.463636e-03
3.279999999999974e+00	6.550724e-03
3.289999999999974e+00	6.637961e-03
3.299999999999974e+00	6.725343e-03
3.309999999999973e+00	6.812869e-03
3.319999999999973e+00	6.900534e-03
3.329999999999973e+00	6.988336e-03
3.339999999999973e+00	7.076272e-03
3.349999999999973e+00	7.164339e-03
3.359999999999972e+00	7.252535e-03
3.369999999999972e+00	7.340857e-03
3.379999999999972e+00	7.429303e-03
3.389999999999972e+00	7.517869e-03
3.399999999999971e+00	7.606555e-03
3.409999999999971e+00	7.695357e-03
3.419999999999971e+00	7.784273e-03
3.429999999999971e+00	7.873302e-03
3.439999999999971e+00	7.962441e-03
3.449999999999970e+00	8.051688e-03
3.459999999999970e+00	8.141040e-03
3.469999999999970e+00	8.230497e-03
3.479999999999970e+00	8.320056e-03
3.489999999999970e+00	8.409714e-03
3.499999999999969e+00	8.499472e-03
3.509999999999969e+00	8.589326e-03
3.519999999999969e+00	8.679276e-03
3.529999999999969e+00	8.769318e-03
3.539999999999969e+00	8.859453e-03
3.549999999999968e+00	8.949677e-03
3.559999999999968e+00	9.039991e-03
3.569999999999968e+00	9.130391e-03
3.579999999999968e+00	9.220877e-03
3.589999999999967e+00	9.311447e-03
3.599999999999967e+00	9.402100e-03
3.609999999999967e+00	9.492834e-03
3.619999999999967e+00	9.583648e-03
3.629999999999967e+00	9.674542e-03
3.639999999999966e+00	9.765512e-03
3.649999999999966e+00	9.856559e-03
3.659999999999966e+00	9.947681e-03
3.669999999999966e+00	1.003888e-02
3.679999999999966e+00	1.013015e-02
3.689999999999965e+00	1.022149e-02
3.699999999999965e+00	1.031290e-02
3.709999999999965e+00	1.040438e-02
3.719999999999965e+00	1.049592e-02
3.729999999999964e+00	1.058754e-02
3.739999999999964e+00	1.067922e-02
3.749999999999964e+00	1.077097e-02
3.759999999999964e+00	1.086278e-02
3.769999999999964e+00	1.095465e-02
3.779999999999963e+00	1.104659e-02
3.789999999999963e+00	1.113859e-02
3.799999999999963e+00	1.123065e-02
3.809999999999963e+00	1.132277e-02
3.819999999999963e+00	1.141495e-02
3.829999999999962e+00	1.150718e-02
3.839999999999962e+00	1.159947e-02
3.849999999999962e+00	1.169182e-02
3.859999999999962e+00	1.178423e-02
3.869999999999961e+00	1.187669e-02
3.879999999999961e+00	1.196920e-02
3.889999999999961e+00	1.206177e-02
3.899999999999961e+00	1.215439e-02
3.909999999999961e+00	1.224706e-02
3.919999999999960e+00	1.233978e-02
3.929999999999960e+00	1.243256e-02
3.939999999999960e+00	1.252538e-02
3.949999999999960e+00	1.261826e-02
3.959999999999960e+00	1.271118e-02
3.969999999999959e+00	1.280415e-02
3.979999999999959e+00	1.289716e-02
3.989999999999959e+00	1.299023e-02
3.999999999999959e+00	1.308334e-02
4.009999999999959e+00	1.317649e-02
4.019999999999959e+00	1.326969e-02
4.029999999999959e+00	1.336294e-02
4.039999999999958e+00	1.345622e-02
4.049999999999958e+00	1.354956e-02
4.059999999999958e+00	1.364293e-02
4.069999999999958e+00	1.373635e-02
4.079999999999957e+00	1.382980e-02
4.089999999999957e+00	1.392330e-02
4.099999999999957e+00	1.401684e-02
4.109999999999957e+00	1.411042e-02
4.119999999999957e+00	1.420404e-02
4.129999999999956e+00	1.429770e-02
4.139999999999956e+00	1.439140e-02
4.149999999999956e+00	1.448514e-02
4.159999999999956e+00	1.457891e-02
4.169999999999956e+00	1.467273e-02
4.179999999999955e+00	1.476657e-02
4.189999999999955e+00	1.486046e-02
4.199999999999955e+00	1.495438e-02
4.209999999999955e+00	1.504834e-02
4.219999999999954e+00	1.514233e-02
4.229999999999954e+00	1.523636e-02
4.239999999999954e+00	1.533042e-02
4.249999999999954e+00	1.542452e-02
4.259999999999954e+00	1.551865e-02
4.269999999999953e+00	1.561281e-02
4.279999999999953e+00	1.570701e-02
4.289999999999953e+00	1.580124e-02
4.299999999999953e+00	1.589550e-02
4.309999999999953e+00	1.598979e-02
4.319999999999952e+00	1.608412e-02
4.329999999999952e+00	1.617848e-02
4.339999999999952e+00	1.627286e-02
4.349999999999952e+00	1.636728e-02
4.359999999999951e+00	1.646173e-02
4.369999999999951e+00	1.655621e-02
4.379999999999951e+00	1.665072e-02
4.389999999999951e+00	1.674526e-02
4.399999999999951e+00	1.683982e-02
4.409999999999950e+00	1.693442e-02
4.419999999999950e+00	1.702904e-02
4.429999999999950e+00	1.712370e-02
4.439999999999950e+00	1.721838e-02
4.449999999999950e+00	1.731308e-02
4.459999999999949e+00	1.740782e-02
4.469999999999949e+00	1.750258e-02
4.479999999999949e+00	1.759737e-02
4.489999999999949e+00	1.769219e-02
4.499999999999948e+00	1.778703e-02
4.509999999999948e+00	1.788190e-02
4.519999999999948e+00	1.797679e-02
4.529999999999948e+00	1.807171e-02
4.539999999999948e+00	1.816665e-02
4.549999999999947e+00	1.826162e-02
4.559999999999947e+00	1.835662e-02
4.569999999999947e+00	1.845164e-02
4.579999999999947e+00	1.854668e-02
4.589999999999947e+00	1.864175e-02
4.599999999999946e+00	1.873684e-02
4.609999999999946e+00	1.883196e-02
4.619999999999946e+00	1.892709e-02
4.629999999999946e+00	1.902225e-02
4.639999999999946e+00	1.911744e-02
4.649999999999945e+00	1.921265e-02
4.659999999999945e+00	1.930788e-02
4.669999999999945e+00	1.940313e-02
4.679999999999945e+00	1.949840e-02
4.689999999999944e+00	1.959370e-02
4.699999999999944e+00	1.968902e-02
4.709999999999944e+00	1.978436e-02
4.719999999999944e+00	1.987972e-02
4.729999999999944e+00	1.997510e-02
4.739999999999943e+00	2.007050e-02
4.749999999999943e+00	2.016593e-02
4.759999999999943e+00	2.026137e-02
4.769999999999943e+00	2.035684e-02
4.779999999999943e+00	2.045232e-02
4.789999999999942e+00	2.054783e-02
4.799999999999942e+00	2.064335e-02
4.809999999999942e+00	2.073890e-02
4.819999999999942e+00	2.083446e-02
4.829999999999941e+00	2.093005e-02
4.839999999999941e+00	2.102565e-02
4.849999999999941e+00	2.112127e-02
4.859999999999941e+00	2.121691e-02
4.869999999999941e+00	2.131257e-02
4.879999999999940e+00	2.140825e-02
4.889999999999940e+00	2.150395e-02
4.899999999999940e+00	2.159966e-02
4.909999999999940e+00	2.169540e-02
4.919999999999940e+00	2.179115e-02
4.929999999999939e+00	2.188692e-02
4.939999999999939e+00	2.198271e-02
4.949999999999939e+00	2.207851e-02
4.959999999999939e+00	2.217433e-02
4.969999999999938e+00	2.227017e-02
4.979999999999938e+00	2.236603e-02
4.989999999999938e+00	2.246190e-02
5.000000000000000e+00	2.255779e-02
