v3	I(Dyellow1)
0.000000000000000e+00	-4.203895e-44
1.000000000000000e-02	1.097149e-14
2.000000000000000e-02	2.203737e-14
3.000000000000000e-02	3.320680e-14
4.000000000000000e-02	4.448983e-14
5.000000000000000e-02	5.589751e-14
6.000000000000000e-02	6.744194e-14
7.000000000000001e-02	7.913642e-14
8.000000000000000e-02	9.099552e-14
9.000000000000000e-02	1.030352e-13
9.999999999999999e-02	1.152731e-13
1.100000000000000e-01	1.277284e-13
1.200000000000000e-01	1.404222e-13
1.300000000000000e-01	1.533776e-13
1.400000000000000e-01	1.666203e-13
1.500000000000000e-01	1.801779e-13
1.600000000000000e-01	1.940812e-13
1.700000000000000e-01	2.083636e-13
1.800000000000000e-01	2.230621e-13
1.900000000000000e-01	2.382171e-13
2.000000000000000e-01	2.538729e-13
2.100000000000000e-01	2.700781e-13
2.200000000000001e-01	2.868862e-13
2.300000000000001e-01	3.043556e-13
2.400000000000001e-01	3.225507e-13
2.500000000000001e-01	3.415420e-13
2.600000000000001e-01	3.614067e-13
2.700000000000001e-01	3.822298e-13
2.800000000000001e-01	4.041044e-13
2.900000000000001e-01	4.271326e-13
3.000000000000001e-01	4.514264e-13
3.100000000000001e-01	4.771089e-13
3.200000000000001e-01	5.043150e-13
3.300000000000001e-01	5.331926e-13
3.400000000000001e-01	5.639042e-13
3.500000000000001e-01	5.966278e-13
3.600000000000002e-01	6.315591e-13
3.700000000000002e-01	6.689125e-13
3.800000000000002e-01	7.089232e-13
3.900000000000002e-01	7.518494e-13
4.000000000000002e-01	7.979744e-13
4.100000000000002e-01	8.476089e-13
4.200000000000002e-01	9.010939e-13
4.300000000000002e-01	9.588033e-13
4.400000000000002e-01	1.021148e-12
4.500000000000002e-01	1.088578e-12
4.600000000000002e-01	1.161587e-12
4.700000000000003e-01	1.240717e-12
4.800000000000003e-01	1.326563e-12
4.900000000000003e-01	1.419778e-12
5.000000000000002e-01	1.521077e-12
5.100000000000002e-01	1.631246e-12
5.200000000000002e-01	1.751146e-12
5.300000000000002e-01	1.881722e-12
5.400000000000003e-01	2.024013e-12
5.500000000000003e-01	2.179156e-12
5.600000000000003e-01	2.348399e-12
5.700000000000003e-01	2.533112e-12
5.800000000000003e-01	2.734799e-12
5.900000000000003e-01	2.955109e-12
6.000000000000003e-01	3.195849e-12
6.100000000000003e-01	3.459006e-12
6.200000000000003e-01	3.746757e-12
6.300000000000003e-01	4.061492e-12
6.400000000000003e-01	4.405831e-12
6.500000000000004e-01	4.782651e-12
6.600000000000004e-01	5.195108e-12
6.700000000000004e-01	5.646663e-12
6.800000000000004e-01	6.141115e-12
6.900000000000004e-01	6.682631e-12
7.000000000000004e-01	7.275784e-12
7.100000000000004e-01	7.925590e-12
7.200000000000004e-01	8.637552e-12
7.300000000000004e-01	9.417711e-12
7.400000000000004e-01	1.027269e-11
7.500000000000004e-01	1.120976e-11
7.600000000000005e-01	1.223689e-11
7.700000000000005e-01	1.336284e-11
7.800000000000005e-01	1.459719e-11
7.900000000000005e-01	1.595050e-11
8.000000000000005e-01	1.743431e-11
8.100000000000005e-01	1.906129e-11
8.200000000000005e-01	2.084537e-11
8.300000000000005e-01	2.280180e-11
8.400000000000005e-01	2.494732e-11
8.500000000000005e-01	2.730030e-11
8.600000000000005e-01	2.988091e-11
8.700000000000006e-01	3.271125e-11
8.800000000000006e-01	3.581558e-11
8.900000000000006e-01	3.922053e-11
9.000000000000006e-01	4.295529e-11
9.100000000000006e-01	4.705192e-11
9.200000000000006e-01	5.154555e-11
9.300000000000006e-01	5.647477e-11
9.400000000000006e-01	6.188190e-11
9.500000000000006e-01	6.781334e-11
9.600000000000006e-01	7.432005e-11
9.700000000000006e-01	8.145792e-11
9.800000000000006e-01	8.928825e-11
9.900000000000007e-01	9.787833e-11
1.000000000000001e+00	1.073020e-10
1.010000000000001e+00	1.176401e-10
1.020000000000001e+00	1.289816e-10
1.030000000000001e+00	1.414240e-10
1.040000000000001e+00	1.550742e-10
1.050000000000001e+00	1.700495e-10
1.060000000000001e+00	1.864787e-10
1.070000000000001e+00	2.045030e-10
1.080000000000001e+00	2.242774e-10
1.090000000000001e+00	2.459719e-10
1.100000000000001e+00	2.697730e-10
1.110000000000001e+00	2.958855e-10
1.120000000000001e+00	3.245337e-10
1.130000000000001e+00	3.559642e-10
1.140000000000001e+00	3.904471e-10
1.150000000000001e+00	4.282791e-10
1.160000000000001e+00	4.697854e-10
1.170000000000001e+00	5.153231e-10
1.180000000000001e+00	5.652838e-10
1.190000000000001e+00	6.200971e-10
1.200000000000001e+00	6.802346e-10
1.210000000000001e+00	7.462134e-10
1.220000000000001e+00	8.186011e-10
1.230000000000001e+00	8.980202e-10
1.240000000000001e+00	9.851538e-10
1.250000000000001e+00	1.080751e-09
1.260000000000001e+00	1.185635e-09
1.270000000000001e+00	1.300708e-09
1.280000000000001e+00	1.426958e-09
1.290000000000001e+00	1.565473e-09
1.300000000000001e+00	1.717443e-09
1.310000000000001e+00	1.884177e-09
1.320000000000001e+00	2.067107e-09
1.330000000000001e+00	2.267807e-09
1.340000000000001e+00	2.488005e-09
1.350000000000001e+00	2.729594e-09
1.360000000000001e+00	2.994652e-09
1.370000000000001e+00	3.285459e-09
1.380000000000001e+00	3.604516e-09
1.390000000000001e+00	3.954569e-09
1.400000000000001e+00	4.338628e-09
1.410000000000001e+00	4.759997e-09
1.420000000000001e+00	5.222300e-09
1.430000000000001e+00	5.729515e-09
1.440000000000001e+00	6.286003e-09
1.450000000000001e+00	6.896552e-09
1.460000000000001e+00	7.566414e-09
1.470000000000001e+00	8.301352e-09
1.480000000000001e+00	9.107685e-09
1.490000000000001e+00	9.992352e-09
1.500000000000001e+00	1.096296e-08
1.510000000000001e+00	1.202786e-08
1.520000000000001e+00	1.319621e-08
1.530000000000001e+00	1.447806e-08
1.540000000000001e+00	1.588444e-08
1.550000000000001e+00	1.742744e-08
1.560000000000001e+00	1.912034e-08
1.570000000000001e+00	2.097770e-08
1.580000000000001e+00	2.301549e-08
1.590000000000001e+00	2.525124e-08
1.600000000000001e+00	2.770417e-08
1.610000000000001e+00	3.039540e-08
1.620000000000001e+00	3.334807e-08
1.630000000000001e+00	3.658756e-08
1.640000000000001e+00	4.014174e-08
1.650000000000001e+00	4.404118e-08
1.660000000000001e+00	4.831942e-08
