v4	I(Dgreen1)
0.000000000000000e+00	-2.802597e-44
1.000000000000000e-02	1.087483e-14
2.000000000000000e-02	2.182620e-14
3.000000000000000e-02	3.286080e-14
4.000000000000000e-02	4.398591e-14
5.000000000000000e-02	5.520944e-14
6.000000000000000e-02	6.654001e-14
7.000000000000001e-02	7.798699e-14
8.000000000000000e-02	8.956056e-14
9.000000000000000e-02	1.012718e-13
9.999999999999999e-02	1.131327e-13
1.100000000000000e-01	1.251564e-13
1.200000000000000e-01	1.373572e-13
1.300000000000000e-01	1.497505e-13
1.400000000000000e-01	1.623532e-13
1.500000000000000e-01	1.751836e-13
1.600000000000000e-01	1.882616e-13
1.700000000000000e-01	2.016088e-13
1.800000000000000e-01	2.152489e-13
1.900000000000000e-01	2.292074e-13
2.000000000000000e-01	2.435123e-13
2.100000000000000e-01	2.581937e-13
2.200000000000001e-01	2.732847e-13
2.300000000000001e-01	2.888211e-13
2.400000000000001e-01	3.048417e-13
2.500000000000001e-01	3.213892e-13
2.600000000000001e-01	3.385094e-13
2.700000000000001e-01	3.562525e-13
2.800000000000001e-01	3.746730e-13
2.900000000000001e-01	3.938301e-13
3.000000000000001e-01	4.137884e-13
3.100000000000001e-01	4.346178e-13
3.200000000000001e-01	4.563946e-13
3.300000000000001e-01	4.792017e-13
3.400000000000001e-01	5.031293e-13
3.500000000000001e-01	5.282752e-13
3.600000000000002e-01	5.547462e-13
3.700000000000002e-01	5.826581e-13
3.800000000000002e-01	6.121370e-13
3.900000000000002e-01	6.433200e-13
4.000000000000002e-01	6.763562e-13
4.100000000000002e-01	7.114076e-13
4.200000000000002e-01	7.486506e-13
4.300000000000002e-01	7.882769e-13
4.400000000000002e-01	8.304951e-13
4.500000000000002e-01	8.755317e-13
4.600000000000002e-01	9.236336e-13
4.700000000000003e-01	9.750687e-13
4.800000000000003e-01	1.030129e-12
4.900000000000003e-01	1.089131e-12
5.000000000000002e-01	1.152420e-12
5.100000000000002e-01	1.220370e-12
5.200000000000002e-01	1.293391e-12
5.300000000000002e-01	1.371924e-12
5.400000000000003e-01	1.456454e-12
5.500000000000003e-01	1.547503e-12
5.600000000000003e-01	1.645643e-12
5.700000000000003e-01	1.751494e-12
5.800000000000003e-01	1.865730e-12
5.900000000000003e-01	1.989085e-12
6.000000000000003e-01	2.122356e-12
6.100000000000003e-01	2.266412e-12
6.200000000000003e-01	2.422196e-12
6.300000000000003e-01	2.590733e-12
6.400000000000003e-01	2.773139e-12
6.500000000000004e-01	2.970629e-12
6.600000000000004e-01	3.184520e-12
6.700000000000004e-01	3.416249e-12
6.800000000000004e-01	3.667375e-12
6.900000000000004e-01	3.939596e-12
7.000000000000004e-01	4.234756e-12
7.100000000000004e-01	4.554864e-12
7.200000000000004e-01	4.902101e-12
7.300000000000004e-01	5.278840e-12
7.400000000000004e-01	5.687663e-12
7.500000000000004e-01	6.131377e-12
7.600000000000005e-01	6.613033e-12
7.700000000000005e-01	7.135952e-12
7.800000000000005e-01	7.703742e-12
7.900000000000005e-01	8.320331e-12
8.000000000000005e-01	8.989984e-12
8.100000000000005e-01	9.717348e-12
8.200000000000005e-01	1.050747e-11
8.300000000000005e-01	1.136584e-11
8.400000000000005e-01	1.229842e-11
8.500000000000005e-01	1.331172e-11
8.600000000000005e-01	1.441279e-11
8.700000000000006e-01	1.560931e-11
8.800000000000006e-01	1.690963e-11
8.900000000000006e-01	1.832283e-11
9.000000000000006e-01	1.985879e-11
9.100000000000006e-01	2.152825e-11
9.200000000000006e-01	2.334288e-11
9.300000000000006e-01	2.531538e-11
9.400000000000006e-01	2.745957e-11
9.500000000000006e-01	2.979048e-11
9.600000000000006e-01	3.232441e-11
9.700000000000006e-01	3.507915e-11
9.800000000000006e-01	3.807402e-11
9.900000000000007e-01	4.133001e-11
1.000000000000001e+00	4.486997e-11
1.010000000000001e+00	4.871874e-11
1.020000000000001e+00	5.290333e-11
1.030000000000001e+00	5.745315e-11
1.040000000000001e+00	6.240011e-11
1.050000000000001e+00	6.777898e-11
1.060000000000001e+00	7.362754e-11
1.070000000000001e+00	7.998687e-11
1.080000000000001e+00	8.690167e-11
1.090000000000001e+00	9.442052e-11
1.100000000000001e+00	1.025963e-10
1.110000000000001e+00	1.114864e-10
1.120000000000001e+00	1.211534e-10
1.130000000000001e+00	1.316652e-10
1.140000000000001e+00	1.430957e-10
1.150000000000001e+00	1.555254e-10
1.160000000000001e+00	1.690415e-10
1.170000000000001e+00	1.837393e-10
1.180000000000001e+00	1.997219e-10
1.190000000000001e+00	2.171019e-10
1.200000000000001e+00	2.360016e-10
1.210000000000001e+00	2.565537e-10
1.220000000000001e+00	2.789029e-10
1.230000000000001e+00	3.032064e-10
1.240000000000001e+00	3.296352e-10
1.250000000000001e+00	3.583752e-10
1.260000000000001e+00	3.896287e-10
1.270000000000001e+00	4.236154e-10
1.280000000000001e+00	4.605745e-10
1.290000000000001e+00	5.007660e-10
1.300000000000001e+00	5.444727e-10
1.310000000000001e+00	5.920022e-10
1.320000000000001e+00	6.436889e-10
1.330000000000001e+00	6.998964e-10
1.340000000000001e+00	7.610202e-10
1.350000000000001e+00	8.274905e-10
1.360000000000001e+00	8.997750e-10
1.370000000000001e+00	9.783823e-10
1.380000000000001e+00	1.063865e-09
1.390000000000001e+00	1.156826e-09
1.400000000000001e+00	1.257918e-09
1.410000000000001e+00	1.367854e-09
1.420000000000001e+00	1.487406e-09
1.430000000000001e+00	1.617416e-09
1.440000000000001e+00	1.758798e-09
1.450000000000001e+00	1.912549e-09
1.460000000000001e+00	2.079749e-09
1.470000000000001e+00	2.261575e-09
1.480000000000001e+00	2.459308e-09
1.490000000000001e+00	2.674337e-09
1.500000000000001e+00	2.908178e-09
1.510000000000001e+00	3.162474e-09
1.520000000000001e+00	3.439016e-09
1.530000000000001e+00	3.739750e-09
1.540000000000001e+00	4.066793e-09
1.550000000000001e+00	4.422445e-09
1.560000000000001e+00	4.809209e-09
1.570000000000001e+00	5.229808e-09
1.580000000000001e+00	5.687201e-09
1.590000000000001e+00	6.184607e-09
1.600000000000001e+00	6.725526e-09
1.610000000000001e+00	7.313766e-09
1.620000000000001e+00	7.953465e-09
1.630000000000001e+00	8.649127e-09
1.640000000000001e+00	9.405644e-09
1.650000000000001e+00	1.022834e-08
1.660000000000001e+00	1.112301e-08
1.670000000000001e+00	1.209595e-08
1.680000000000001e+00	1.315400e-08
1.690000000000001e+00	1.430460e-08
1.700000000000001e+00	1.555587e-08
1.710000000000001e+00	1.691659e-08
1.720000000000001e+00	1.839635e-08
1.730000000000001e+00	2.000556e-08
1.740000000000001e+00	2.175554e-08
1.750000000000001e+00	2.365861e-08
1.760000000000001e+00	2.572817e-08
1.770000000000001e+00	2.797876e-08
1.780000000000001e+00	3.042623e-08
1.790000000000001e+00	3.308780e-08
1.800000000000001e+00	3.598221e-08
1.810000000000001e+00	3.912981e-08
1.820000000000001e+00	4.255275e-08
1.830000000000001e+00	4.627512e-08
1.840000000000001e+00	5.032311e-08
1.850000000000001e+00	5.472519e-08
1.860000000000001e+00	5.951235e-08
1.870000000000001e+00	6.471826e-08
1.880000000000001e+00	7.037956e-08
1.890000000000001e+00	7.653605e-08
1.900000000000001e+00	8.323107e-08
1.910000000000001e+00	9.051170e-08
1.920000000000001e+00	9.842918e-08
1.930000000000001e+00	1.070392e-07
1.940000000000002e+00	1.164023e-07
1.950000000000002e+00	1.265843e-07
1.960000000000002e+00	1.376569e-07
1.970000000000002e+00	1.496979e-07
1.980000000000002e+00	1.627920e-07
1.990000000000002e+00	1.770314e-07
2.000000000000001e+00	1.925161e-07
2.010000000000001e+00	2.093549e-07
2.020000000000001e+00	2.276663e-07
2.030000000000001e+00	2.475791e-07
2.040000000000000e+00	2.692331e-07
2.050000000000000e+00	2.927806e-07
2.060000000000000e+00	3.183870e-07
2.070000000000000e+00	3.462324e-07
2.080000000000000e+00	3.765123e-07
2.089999999999999e+00	4.094394e-07
2.099999999999999e+00	4.452450e-07
2.109999999999999e+00	4.841806e-07
2.119999999999999e+00	5.265196e-07
2.129999999999999e+00	5.725590e-07
2.139999999999998e+00	6.226222e-07
2.149999999999998e+00	6.770602e-07
2.159999999999998e+00	7.362551e-07
2.169999999999998e+00	8.006218e-07
2.179999999999997e+00	8.706116e-07
2.189999999999997e+00	9.467152e-07
2.199999999999997e+00	1.029465e-06
2.209999999999997e+00	1.119442e-06
2.219999999999997e+00	1.217275e-06
2.229999999999996e+00	1.323648e-06
2.239999999999996e+00	1.439305e-06
2.249999999999996e+00	1.565055e-06
2.259999999999996e+00	1.701777e-06
2.269999999999996e+00	1.850423e-06
