v1	I(Dgreen)	I(Dred)	I(Dyellow)
0.000000000000000e+00	-2.802597e-44	-6.586103e-44	-4.203895e-44
1.000000000000000e-02	1.087483e-14	1.109215e-14	1.097149e-14
2.000000000000000e-02	2.182620e-14	2.230358e-14	2.203737e-14
3.000000000000000e-02	3.286080e-14	3.364731e-14	3.320680e-14
4.000000000000000e-02	4.398591e-14	4.513780e-14	4.448983e-14
5.000000000000000e-02	5.520944e-14	5.679107e-14	5.589751e-14
6.000000000000000e-02	6.654001e-14	6.862490e-14	6.744194e-14
7.000000000000001e-02	7.798699e-14	8.065902e-14	7.913642e-14
8.000000000000000e-02	8.956056e-14	9.291529e-14	9.099552e-14
9.000000000000000e-02	1.012718e-13	1.054180e-13	1.030352e-13
9.999999999999999e-02	1.131327e-13	1.181940e-13	1.152731e-13
1.100000000000000e-01	1.251564e-13	1.312732e-13	1.277284e-13
1.200000000000000e-01	1.373572e-13	1.446887e-13	1.404222e-13
1.300000000000000e-01	1.497505e-13	1.584772e-13	1.533776e-13
1.400000000000000e-01	1.623532e-13	1.726795e-13	1.666203e-13
1.500000000000000e-01	1.751836e-13	1.873408e-13	1.801779e-13
1.600000000000000e-01	1.882616e-13	2.025111e-13	1.940812e-13
1.700000000000000e-01	2.016088e-13	2.182460e-13	2.083636e-13
1.800000000000000e-01	2.152489e-13	2.346074e-13	2.230621e-13
1.900000000000000e-01	2.292074e-13	2.516635e-13	2.382171e-13
2.000000000000000e-01	2.435123e-13	2.694902e-13	2.538729e-13
2.100000000000000e-01	2.581937e-13	2.881717e-13	2.700781e-13
2.200000000000001e-01	2.732847e-13	3.078014e-13	2.868862e-13
2.300000000000001e-01	2.888211e-13	3.284827e-13	3.043556e-13
2.400000000000001e-01	3.048417e-13	3.503307e-13	3.225507e-13
2.500000000000001e-01	3.213892e-13	3.734725e-13	3.415420e-13
2.600000000000001e-01	3.385094e-13	3.980497e-13	3.614067e-13
2.700000000000001e-01	3.562525e-13	4.242190e-13	3.822298e-13
