vi	V(vbe)	I(Rb)	I(Rc)
0.000000000000000e+000	1.006573e-006	1.006573e-011	1.009163e-011
1.000000000000000e-002	1.000100e-002	1.004480e-011	1.009222e-011
2.000000000000000e-002	2.000100e-002	1.002332e-011	1.010358e-011
3.000000000000000e-002	3.000100e-002	1.000157e-011	1.012201e-011
4.000000000000000e-002	4.000100e-002	9.979302e-012	1.015165e-011
5.000000000000000e-002	5.000100e-002	9.956368e-012	1.020215e-011
6.000000000000001e-002	6.000099e-002	9.932553e-012	1.028118e-011
7.000000000000001e-002	7.000099e-002	9.907619e-012	1.039998e-011
8.000000000000000e-002	8.000099e-002	9.881217e-012	1.057727e-011
9.000000000000000e-002	9.000099e-002	9.852879e-012	1.084389e-011
9.999999999999999e-002	1.000010e-001	9.822000e-012	1.123974e-011
1.100000000000000e-001	1.100010e-001	9.787809e-012	1.182573e-011
1.200000000000000e-001	1.200010e-001	9.749263e-012	1.268928e-011
1.300000000000000e-001	1.300010e-001	9.704956e-012	1.396230e-011
1.400000000000000e-001	1.400010e-001	9.653001e-012	1.583107e-011
1.500000000000000e-001	1.500010e-001	9.590945e-012	1.858083e-011
1.600000000000000e-001	1.600010e-001	9.515441e-012	2.261346e-011
1.700000000000000e-001	1.700009e-001	9.421857e-012	2.853788e-011
1.800000000000000e-001	1.800009e-001	9.304146e-012	3.722916e-011
1.900000000000000e-001	1.900009e-001	9.153823e-012	4.998558e-011
2.000000000000000e-001	2.000009e-001	8.959491e-012	6.869867e-011
2.100000000000001e-001	2.100009e-001	8.705306e-012	9.615121e-011
2.200000000000001e-001	2.200008e-001	8.369445e-012	1.364242e-010
2.300000000000001e-001	2.300008e-001	7.921801e-012	1.954988e-010
2.400000000000001e-001	2.400007e-001	7.320144e-012	2.821569e-010
2.500000000000001e-001	2.500007e-001	6.505719e-012	4.092684e-010
2.600000000000001e-001	2.600005e-001	5.395933e-012	5.957195e-010
2.700000000000001e-001	2.700004e-001	3.874256e-012	8.692050e-010
2.800000000000001e-001	2.800002e-001	1.776044e-012	1.270353e-009
2.900000000000001e-001	2.899999e-001	-1.132377e-012	1.858747e-009
3.000000000000001e-001	2.999995e-001	-5.183837e-012	2.721782e-009
3.100000000000001e-001	3.099989e-001	-1.085348e-011	3.987637e-009
3.200000000000001e-001	3.199981e-001	-1.882162e-011	5.844295e-009
3.300000000000001e-001	3.299970e-001	-3.006485e-011	8.567439e-009
3.400000000000001e-001	3.399954e-001	-4.598810e-011	1.256133e-008
3.500000000000001e-001	3.499931e-001	-6.861666e-011	1.841870e-008
3.600000000000002e-001	3.599899e-001	-1.008748e-010	2.700850e-008
3.700000000000002e-001	3.699853e-001	-1.469917e-010	3.960428e-008
3.800000000000002e-001	3.799787e-001	-2.130907e-010	5.807191e-008
3.900000000000002e-001	3.899692e-001	-3.080457e-010	8.514374e-008
4.000000000000002e-001	3.999555e-001	-4.447230e-010	1.248179e-007
4.100000000000002e-001	4.099358e-001	-6.417786e-010	1.829387e-007
4.200000000000002e-001	4.199074e-001	-9.262471e-010	2.680351e-007
4.300000000000002e-001	4.298663e-001	-1.337251e-009	3.925266e-007
4.400000000000002e-001	4.398069e-001	-1.931261e-009	5.744374e-007
4.500000000000002e-001	4.497211e-001	-2.789456e-009	8.398018e-007
4.600000000000002e-001	4.595972e-001	-4.027795e-009	1.225963e-006
4.700000000000003e-001	4.694190e-001	-5.810361e-009	1.785957e-006
4.800000000000003e-001	4.791634e-001	-8.366130e-009	2.594028e-006
4.900000000000003e-001	4.887992e-001	-1.200831e-008	3.752029e-006
5.000000000000002e-001	4.982847e-001	-1.715338e-008	5.395727e-006
5.100000000000002e-001	5.075666e-001	-2.433366e-008	7.699055e-006
5.200000000000002e-001	5.165806e-001	-3.419375e-008	1.087308e-005
5.300000000000003e-001	5.252540e-001	-4.745963e-008	1.515597e-005
5.400000000000003e-001	5.335126e-001	-6.487390e-008	2.079185e-005
5.500000000000003e-001	5.412896e-001	-8.710443e-008	2.800077e-005
5.600000000000003e-001	5.485350e-001	-1.146501e-007	3.694760e-005
5.700000000000003e-001	5.552224e-001	-1.477759e-007	4.772044e-005
5.800000000000003e-001	5.613502e-001	-1.864974e-007	6.032539e-005
5.900000000000003e-001	5.669385e-001	-2.306148e-007	7.469741e-005
6.000000000000003e-001	5.720225e-001	-2.797750e-007	9.072074e-005
6.100000000000003e-001	5.766461e-001	-3.335389e-007	1.082511e-004
6.200000000000003e-001	5.808562e-001	-3.914379e-007	1.271340e-004
6.300000000000003e-001	5.846988e-001	-4.530123e-007	1.472180e-004
6.400000000000004e-001	5.882166e-001	-5.178338e-007	1.683616e-004
6.500000000000004e-001	5.914484e-001	-5.855165e-007	1.904373e-004
6.600000000000004e-001	5.944281e-001	-6.557195e-007	2.133323e-004
6.700000000000004e-001	5.971855e-001	-7.281452e-007	2.369482e-004
6.800000000000004e-001	5.997464e-001	-8.025359e-007	2.611995e-004
6.900000000000004e-001	6.021331e-001	-8.786690e-007	2.860125e-004
7.000000000000004e-001	6.043648e-001	-9.563524e-007	3.113234e-004
7.100000000000004e-001	6.064579e-001	-1.035420e-006	3.370773e-004
7.200000000000004e-001	6.084270e-001	-1.115729e-006	3.632265e-004
7.300000000000004e-001	6.102845e-001	-1.197155e-006	3.897297e-004
7.400000000000004e-001	6.120411e-001	-1.279589e-006	4.165508e-004
7.500000000000004e-001	6.137064e-001	-1.362936e-006	4.436584e-004
7.600000000000005e-001	6.152886e-001	-1.447115e-006	4.710249e-004
7.700000000000005e-001	6.167949e-001	-1.532051e-006	4.986261e-004
7.800000000000005e-001	6.182319e-001	-1.617681e-006	5.264407e-004
7.900000000000005e-001	6.196052e-001	-1.703948e-006	5.544495e-004
8.000000000000005e-001	6.209199e-001	-1.790801e-006	5.826358e-004
8.100000000000005e-001	6.221804e-001	-1.878196e-006	6.109845e-004
8.200000000000005e-001	6.233909e-001	-1.966091e-006	6.394821e-004
8.300000000000005e-001	6.245550e-001	-2.054450e-006	6.681166e-004
8.400000000000005e-001	6.256759e-001	-2.143241e-006	6.968771e-004
8.500000000000005e-001	6.267565e-001	-2.232435e-006	7.257538e-004
8.600000000000005e-001	6.277996e-001	-2.322004e-006	7.547376e-004
8.700000000000006e-001	6.288075e-001	-2.411925e-006	7.838207e-004
8.800000000000006e-001	6.297824e-001	-2.502176e-006	8.129955e-004
8.900000000000006e-001	6.307265e-001	-2.592735e-006	8.422555e-004
9.000000000000006e-001	6.316414e-001	-2.683586e-006	8.715944e-004
9.100000000000006e-001	6.325289e-001	-2.774711e-006	9.010067e-004
9.200000000000006e-001	6.333905e-001	-2.866095e-006	9.304871e-004
9.300000000000006e-001	6.342278e-001	-2.957723e-006	9.600309e-004
9.400000000000006e-001	6.350418e-001	-3.049582e-006	9.896338e-004
9.500000000000006e-001	6.358339e-001	-3.141661e-006	1.019292e-003
9.600000000000006e-001	6.366053e-001	-3.233947e-006	1.049001e-003
9.700000000000006e-001	6.373568e-001	-3.326432e-006	1.078758e-003
9.800000000000007e-001	6.380897e-001	-3.419104e-006	1.108559e-003
9.900000000000007e-001	6.388046e-001	-3.511955e-006	1.138402e-003
1.000000000000001e+000	6.395024e-001	-3.604976e-006	1.168283e-003
1.010000000000001e+000	6.401840e-001	-3.698160e-006	1.198201e-003
1.020000000000001e+000	6.408500e-001	-3.791500e-006	1.228152e-003
1.030000000000001e+000	6.415012e-001	-3.884988e-006	1.258135e-003
1.040000000000001e+000	6.421382e-001	-3.978619e-006	1.288147e-003
1.050000000000001e+000	6.427615e-001	-4.072385e-006	1.318187e-003
1.060000000000001e+000	6.433718e-001	-4.166282e-006	1.348251e-003
1.070000000000001e+000	6.439696e-001	-4.260304e-006	1.378339e-003
1.080000000000001e+000	6.445554e-001	-4.354446e-006	1.408450e-003
1.090000000000001e+000	6.451296e-001	-4.448704e-006	1.438580e-003
1.100000000000001e+000	6.456927e-001	-4.543073e-006	1.468730e-003
1.110000000000001e+000	6.462451e-001	-4.637549e-006	1.498897e-003
1.120000000000001e+000	6.467872e-001	-4.732127e-006	1.529080e-003
1.130000000000001e+000	6.473195e-001	-4.826805e-006	1.559278e-003
1.140000000000001e+000	6.478422e-001	-4.921579e-006	1.589490e-003
1.150000000000001e+000	6.483556e-001	-5.016444e-006	1.619714e-003
1.160000000000001e+000	6.488602e-001	-5.111398e-006	1.649950e-003
1.170000000000001e+000	6.493561e-001	-5.206439e-006	1.680196e-003
1.180000000000001e+000	6.498438e-001	-5.301562e-006	1.710453e-003
1.190000000000001e+000	6.503234e-001	-5.396766e-006	1.740718e-003
1.200000000000001e+000	6.507952e-001	-5.492048e-006	1.770990e-003
1.210000000000001e+000	6.512595e-001	-5.587405e-006	1.801270e-003
1.220000000000001e+000	6.517166e-001	-5.682834e-006	1.831556e-003
1.230000000000001e+000	6.521665e-001	-5.778335e-006	1.861848e-003
1.240000000000001e+000	6.526097e-001	-5.873903e-006	1.892144e-003
1.250000000000001e+000	6.530462e-001	-5.969538e-006	1.922444e-003
1.260000000000001e+000	6.534762e-001	-6.065237e-006	1.952748e-003
1.270000000000001e+000	6.539001e-001	-6.160999e-006	1.983055e-003
1.280000000000001e+000	6.543179e-001	-6.256822e-006	2.013364e-003
1.290000000000001e+000	6.547297e-001	-6.352703e-006	2.043674e-003
1.300000000000001e+000	6.551358e-001	-6.448642e-006	2.073986e-003
1.310000000000001e+000	6.555364e-001	-6.544636e-006	2.104298e-003
1.320000000000001e+000	6.559315e-001	-6.640685e-006	2.134611e-003
1.330000000000001e+000	6.563214e-001	-6.736786e-006	2.164923e-003
1.340000000000001e+000	6.567062e-001	-6.832938e-006	2.195234e-003
1.350000000000001e+000	6.570860e-001	-6.929141e-006	2.225544e-003
1.360000000000001e+000	6.574608e-001	-7.025392e-006	2.255852e-003
1.370000000000001e+000	6.578310e-001	-7.121690e-006	2.286159e-003
1.380000000000001e+000	6.581965e-001	-7.218035e-006	2.316463e-003
1.390000000000001e+000	6.585575e-001	-7.314424e-006	2.346763e-003
1.400000000000001e+000	6.589142e-001	-7.410858e-006	2.377061e-003
1.410000000000001e+000	6.592666e-001	-7.507334e-006	2.407355e-003
1.420000000000001e+000	6.596147e-001	-7.603852e-006	2.437646e-003
1.430000000000001e+000	6.599589e-001	-7.700412e-006	2.467932e-003
1.440000000000001e+000	6.602990e-001	-7.797010e-006	2.498213e-003
1.450000000000001e+000	6.606352e-001	-7.893647e-006	2.528490e-003
1.460000000000001e+000	6.609677e-001	-7.990323e-006	2.558762e-003
1.470000000000001e+000	6.612964e-001	-8.087036e-006	2.589029e-003
1.480000000000001e+000	6.616215e-001	-8.183784e-006	2.619289e-003
1.490000000000001e+000	6.619431e-001	-8.280569e-006	2.649544e-003
1.500000000000001e+000	6.622612e-001	-8.377388e-006	2.679793e-003
1.510000000000001e+000	6.625759e-001	-8.474241e-006	2.710035e-003
1.520000000000001e+000	6.628873e-001	-8.571127e-006	2.740271e-003
1.530000000000001e+000	6.631954e-001	-8.668047e-006	2.770500e-003
1.540000000000001e+000	6.635004e-001	-8.764997e-006	2.800722e-003
1.550000000000001e+000	6.638022e-001	-8.861978e-006	2.830937e-003
1.560000000000001e+000	6.641010e-001	-8.958990e-006	2.861144e-003
1.570000000000001e+000	6.643968e-001	-9.056032e-006	2.891344e-003
1.580000000000001e+000	6.646897e-001	-9.153103e-006	2.921536e-003
1.590000000000001e+000	6.649797e-001	-9.250203e-006	2.951720e-003
1.600000000000001e+000	6.652669e-001	-9.347331e-006	2.981896e-003
1.610000000000001e+000	6.655514e-001	-9.444486e-006	3.012063e-003
1.620000000000001e+000	6.658332e-001	-9.541668e-006	3.042222e-003
1.630000000000001e+000	6.661123e-001	-9.638878e-006	3.072372e-003
1.640000000000001e+000	6.663888e-001	-9.736112e-006	3.102513e-003
1.650000000000001e+000	6.666628e-001	-9.833372e-006	3.132646e-003
1.660000000000001e+000	6.669343e-001	-9.930657e-006	3.162769e-003
1.670000000000001e+000	6.672033e-001	-1.002797e-005	3.192883e-003
1.680000000000001e+000	6.674699e-001	-1.012530e-005	3.222988e-003
1.690000000000001e+000	6.677342e-001	-1.022266e-005	3.253083e-003
1.700000000000001e+000	6.679962e-001	-1.032004e-005	3.283169e-003
1.710000000000001e+000	6.682559e-001	-1.041744e-005	3.313245e-003
1.720000000000001e+000	6.685133e-001	-1.051487e-005	3.343311e-003
1.730000000000001e+000	6.687685e-001	-1.061231e-005	3.373367e-003
1.740000000000001e+000	6.690216e-001	-1.070978e-005	3.403413e-003
1.750000000000001e+000	6.692726e-001	-1.080727e-005	3.433449e-003
1.760000000000001e+000	6.695215e-001	-1.090479e-005	3.463474e-003
1.770000000000001e+000	6.697683e-001	-1.100232e-005	3.493489e-003
1.780000000000001e+000	6.700132e-001	-1.109987e-005	3.523494e-003
1.790000000000001e+000	6.702560e-001	-1.119744e-005	3.553488e-003
1.800000000000001e+000	6.704969e-001	-1.129503e-005	3.583471e-003
1.810000000000001e+000	6.707359e-001	-1.139264e-005	3.613443e-003
1.820000000000001e+000	6.709730e-001	-1.149027e-005	3.643405e-003
1.830000000000001e+000	6.712083e-001	-1.158792e-005	3.673355e-003
1.840000000000001e+000	6.714417e-001	-1.168558e-005	3.703295e-003
1.850000000000001e+000	6.716734e-001	-1.178327e-005	3.733223e-003
1.860000000000001e+000	6.719033e-001	-1.188097e-005	3.763140e-003
1.870000000000001e+000	6.721314e-001	-1.197869e-005	3.793046e-003
1.880000000000001e+000	6.723579e-001	-1.207642e-005	3.822941e-003
1.890000000000002e+000	6.725826e-001	-1.217417e-005	3.852824e-003
1.900000000000002e+000	6.728057e-001	-1.227194e-005	3.882696e-003
1.910000000000002e+000	6.730272e-001	-1.236973e-005	3.912556e-003
1.920000000000002e+000	6.732470e-001	-1.246753e-005	3.942404e-003
1.930000000000002e+000	6.734653e-001	-1.256535e-005	3.972241e-003
1.940000000000002e+000	6.736820e-001	-1.266318e-005	4.002066e-003
1.950000000000002e+000	6.738973e-001	-1.276103e-005	4.031880e-003
1.960000000000002e+000	6.741109e-001	-1.285889e-005	4.061681e-003
1.970000000000002e+000	6.743231e-001	-1.295677e-005	4.091471e-003
1.980000000000002e+000	6.745338e-001	-1.305466e-005	4.121248e-003
1.990000000000002e+000	6.747431e-001	-1.315257e-005	4.151014e-003
2.000000000000001e+000	6.749510e-001	-1.325049e-005	4.180767e-003
2.010000000000001e+000	6.751574e-001	-1.334843e-005	4.210508e-003
2.020000000000001e+000	6.753625e-001	-1.344638e-005	4.240238e-003
2.030000000000001e+000	6.755662e-001	-1.354434e-005	4.269955e-003
2.040000000000001e+000	6.757685e-001	-1.364232e-005	4.299659e-003
