vdd	V(vce)	I(Rc)
Step Information: Vinput=0  (Run: 1/6)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-002	1.000000e-002	3.986921e-014
2.000000000000000e-002	2.000000e-002	6.350386e-014
3.000000000000000e-002	3.000000e-002	-1.332761e-012
4.000000000000000e-002	4.000000e-002	-1.313460e-012
5.000000000000000e-002	5.000000e-002	1.224710e-013
6.000000000000001e-002	6.000000e-002	1.372730e-013
7.000000000000001e-002	7.000000e-002	-1.268536e-012
8.000000000000000e-002	8.000000e-002	-1.256054e-012
9.000000000000000e-002	9.000000e-002	1.749963e-013
9.999999999999999e-002	1.000000e-001	1.862781e-013
1.100000000000000e-001	1.100000e-001	-1.222028e-012
1.200000000000000e-001	1.200000e-001	-1.211345e-012
1.300000000000000e-001	1.300000e-001	2.183921e-013
1.400000000000000e-001	1.400000e-001	2.287216e-013
1.500000000000000e-001	1.500000e-001	-1.180239e-012
1.600000000000000e-001	1.600000e-001	-1.170060e-012
1.700000000000000e-001	1.700000e-001	2.593022e-013
1.800000000000000e-001	1.800000e-001	2.694014e-013
1.900000000000000e-001	1.900000e-001	-1.139769e-012
2.000000000000000e-001	2.000000e-001	-1.129700e-012
2.100000000000001e-001	2.100000e-001	2.996057e-013
2.200000000000001e-001	2.200000e-001	3.096308e-013
2.300000000000001e-001	2.300000e-001	-1.099605e-012
2.400000000000001e-001	2.400000e-001	-1.089585e-012
2.500000000000001e-001	2.500000e-001	3.396500e-013
2.600000000000001e-001	2.600000e-001	3.496645e-013
2.700000000000001e-001	2.700000e-001	-1.059590e-012
2.800000000000001e-001	2.800000e-001	-1.049548e-012
2.900000000000001e-001	2.900000e-001	3.796696e-013
3.000000000000001e-001	3.000000e-001	3.896938e-013
3.100000000000001e-001	3.100000e-001	-1.019537e-012
3.200000000000001e-001	3.200000e-001	-1.009521e-012
3.300000000000001e-001	3.300000e-001	4.197417e-013
3.400000000000001e-001	3.400000e-001	4.297521e-013
3.500000000000001e-001	3.500000e-001	-9.795661e-013
3.600000000000002e-001	3.600000e-001	-9.695608e-013
3.700000000000002e-001	3.700000e-001	4.596934e-013
3.800000000000002e-001	3.800000e-001	4.696976e-013
3.900000000000002e-001	3.900000e-001	-9.395485e-013
4.000000000000002e-001	4.000000e-001	-9.295451e-013
4.100000000000002e-001	4.100000e-001	4.997078e-013
4.200000000000002e-001	4.200000e-001	5.097098e-013
4.300000000000002e-001	4.300000e-001	-8.995374e-013
4.400000000000002e-001	4.400000e-001	-8.895348e-013
4.500000000000002e-001	4.500000e-001	5.397169e-013
4.600000000000002e-001	4.600000e-001	5.497189e-013
4.700000000000003e-001	4.700000e-001	-8.595283e-013
4.800000000000003e-001	4.800000e-001	-8.495268e-013
4.900000000000003e-001	4.900000e-001	5.797257e-013
5.000000000000002e-001	5.000000e-001	5.897277e-013
5.100000000000002e-001	5.100000e-001	-8.195200e-013
5.200000000000002e-001	5.200000e-001	-8.095174e-013
5.300000000000003e-001	5.300000e-001	6.197342e-013
5.400000000000003e-001	5.400000e-001	6.297363e-013
5.500000000000003e-001	5.500000e-001	-7.795120e-013
5.600000000000003e-001	5.600000e-001	-7.695095e-013
5.700000000000003e-001	5.700000e-001	6.597423e-013
5.800000000000003e-001	5.800000e-001	6.697443e-013
5.900000000000003e-001	5.900000e-001	-7.395040e-013
6.000000000000003e-001	6.000000e-001	-7.295020e-013
6.100000000000003e-001	6.100000e-001	6.997503e-013
6.200000000000003e-001	6.200000e-001	7.097522e-013
6.300000000000003e-001	6.300000e-001	-6.994960e-013
6.400000000000004e-001	6.400000e-001	-6.894946e-013
6.500000000000004e-001	6.500000e-001	7.397577e-013
6.600000000000004e-001	6.600000e-001	7.497608e-013
6.700000000000004e-001	6.700000e-001	-6.594880e-013
6.800000000000004e-001	6.800000e-001	-6.494855e-013
6.900000000000004e-001	6.900000e-001	7.797657e-013
