#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2023-11-30 11:53:47.807
#Sample rate: 63979.5Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 50 Hz
#Period: 20 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 2 (V)
-0.08219803537042826,-1.669607099131278
-0.08218240537042826,-1.658308381277277
-0.08216677537042825,-1.643243424138597
-0.08215114537042825,-1.631944706284591
-0.08213551537042825,-1.62064598843058
-0.08211988537042825,-1.609347270576573
-0.08210425537042826,-1.598048552722578
-0.08208862537042826,-1.586749834868566
-0.08207299537042825,-1.57545111701456
-0.08205736537042825,-1.560386159875885
-0.08204173537042825,-1.552853681306541
-0.08202610537042826,-1.53778872416788
-0.08201047537042826,-1.530256245598536
-0.08199484537042825,-1.515191288459861
-0.08197921537042825,-1.503892570605855
-0.08196358537042825,-1.492593852751844
-0.08194795537042826,-1.481295134897848
-0.08193232537042826,-1.466230177759175
-0.08191669537042826,-1.454931459905162
-0.08190106537042825,-1.443632742051156
-0.08188543537042825,-1.428567784912476
-0.08186980537042825,-1.41726906705847
-0.08185417537042826,-1.405970349204474
-0.08183854537042826,-1.398437870635131
-0.08182291537042825,-1.383372913496457
-0.08180728537042825,-1.37207419564245
-0.08179165537042825,-1.357009238503771
-0.08177602537042826,-1.345710520649775
-0.08176039537042826,-1.334411802795764
-0.08174476537042825,-1.323113084941757
-0.08172913537042825,-1.311814367087751
-0.08171350537042825,-1.300515649233738
-0.08169787537042825,-1.285450692095065
-0.08168224537042826,-1.274151974241069
-0.08166661537042826,-1.262853256387058
-0.08165098537042825,-1.251554538533052
-0.08163535537042825,-1.240255820679046
-0.08161972537042825,-1.228957102825033
-0.08160409537042826,-1.213892145686372
-0.08158846537042826,-1.202593427832359
-0.08157283537042825,-1.191294709978353
-0.08155720537042825,-1.179995992124347
-0.08154157537042825,-1.168697274270334
-0.08152594537042826,-1.153632317131673
-0.08151031537042826,-1.142333599277665
-0.08149468537042825,-1.134801120708323
-0.08147905537042825,-1.123502402854316
-0.08146342537042825,-1.108437445715637
-0.08144779537042825,-1.09713872786163
-0.08143216537042826,-1.085840010007634
-0.08141653537042826,-1.074541292153623
-0.08140090537042825,-1.063242574299617
-0.08138527537042825,-1.051943856445611
-0.08136964537042825,-1.0406451385916
-0.08135401537042826,-1.029346420737604
-0.08133838537042826,-1.014281463598924
-0.08132275537042825,-1.002982745744918
-0.08130712537042825,-0.9954502671755806
-0.08129149537042825,-0.976619070752232
-0.08127586537042826,-0.9653203528982361
-0.08126023537042826,-0.9540216350442301
-0.08124460537042826,-0.9427229171902188
-0.08122897537042825,-0.9314241993362128
-0.08121334537042825,-0.9201254814822015
-0.08119771537042825,-0.9088267636281937
-0.08118208537042826,-0.8937618064895326
-0.08116645537042826,-0.8824630886355197
-0.08115082537042825,-0.8711643707815135
-0.08113519537042825,-0.8598656529275075
-0.08111956537042825,-0.8485669350734962
-0.08110393537042826,-0.8372682172195004
-0.08108830537042826,-0.8259694993654891
-0.08107267537042825,-0.8146707815114831
-0.08105704537042825,-0.8033720636574769
-0.08104141537042825,-0.7883071065187971
-0.08102578537042826,-0.7770083886648012
-0.08101015537042826,-0.7619434315261282
-0.08099452537042826,-0.7506447136721152
-0.08097889537042825,-0.7393459958181091
-0.08096326537042825,-0.7242810386794308
-0.08094763537042825,-0.71674856011009
-0.08093200537042826,-0.701683602971429
-0.08091637537042826,-0.690384885117416
-0.08090074537042825,-0.6828524065480785
-0.08088511537042825,-0.6715536886940725
-0.08086948537042825,-0.6602549708400595
-0.08085385537042826,-0.6451900137013985
