time	V(vo)	V(n003)
Step Information: R_e=220  (Run: 1/2)
0.000000000000000e+000	5.941526e-004	0.000000e+000
9.999999717180685e-010	4.889806e-004	9.424778e-007
1.999999943436137e-009	3.743510e-004	1.884956e-006
3.999999886872274e-009	1.183188e-004	3.769911e-006
7.999999773744548e-009	-4.357343e-004	7.539822e-006
1.599999954748910e-008	-1.576159e-003	1.507964e-005
1.023999971039302e-006	-1.455922e-001	9.644315e-004
2.047999942078604e-006	-2.907647e-001	1.924872e-003
4.095999884157209e-006	-5.712972e-001	3.817915e-003
8.191999768314418e-006	-1.080523e+000	7.384348e-003
1.264924314219766e-005	-1.525378e+000	1.070559e-002
1.682093274080860e-005	-1.794303e+000	1.306247e-002
2.040348074050018e-005	-1.899092e+000	1.437876e-002
2.205956317882948e-005	-1.897476e+000	1.474472e-002
2.379310556946752e-005	-1.852851e+000	1.495689e-002
2.605069314504179e-005	-1.750168e+000	1.496733e-002
2.821038369235772e-005	-1.604672e+000	1.469587e-002
3.171387590732729e-005	-1.282368e+000	1.368502e-002
3.730832239277778e-005	-6.523895e-001	1.073357e-002
4.294836626097644e-005	3.564993e-002	6.430688e-003
5.006333077609550e-005	8.356975e-001	-5.968769e-005
5.880309384481226e-005	1.602482e+000	-7.880101e-003
6.409389856771276e-005	1.906278e+000	-1.161391e-002
6.751547899999952e-005	2.010735e+000	-1.337171e-002
6.992733576534876e-005	2.040818e+000	-1.424454e-002
7.170319853627755e-005	2.039782e+000	-1.467933e-002
7.336336520968228e-005	2.021433e+000	-1.492076e-002
7.494417372807988e-005	1.989112e+000	-1.499991e-002
7.647925033729920e-005	1.941626e+000	-1.493526e-002
7.890735313721523e-005	1.832545e+000	-1.455022e-002
8.283782727998061e-005	1.573071e+000	-1.321755e-002
8.906582321508470e-005	9.744388e-001	-9.513478e-003
9.829725221723273e-005	-1.638694e-001	-1.601742e-003
1.059023617032220e-004	-1.168634e+000	5.436205e-003
1.101535327246724e-004	-1.662288e+000	8.933432e-003
1.137653902915015e-004	-1.967843e+000	1.141550e-002
1.171096651709947e-004	-2.128561e+000	1.319408e-002
1.210763375053191e-004	-2.186870e+000	1.454647e-002
