Freq.	V(vo)
Step Information: R_e=220  (Run: 1/2)
1.00000000000000e+003	(-3.13686344132540e+000dB,-1.06349662867784e+002°)
1.07177346253629e+003	(-2.59377550134169e+000dB,-1.07643030238311e+002°)
1.14869835499704e+003	(-2.05881711067597e+000dB,-1.08996519027854e+002°)
1.23114441334492e+003	(-1.53286448007550e+000dB,-1.10411736716524e+002°)
1.31950791077289e+003	(-1.01685815213557e+000dB,-1.11889759042963e+002°)
1.41421356237310e+003	(-5.11796267490949e-001dB,-1.13431035654739e+002°)
1.51571656651040e+003	(-1.87247523295534e-002dB,-1.15035294950023e+002°)
1.62450479271247e+003	(4.61275904665864e-001dB,-1.16701452616122e+002°)
1.74110112659225e+003	(9.27107467704042e-001dB,-1.18427529427965e+002°)
1.86606598307361e+003	(1.37767432675512e+000dB,-1.20210584725620e+002°)
2.00000000000000e+003	(1.81190711375496e+000dB,-1.22046672469904e+002°)
2.14354692507259e+003	(2.22878892110868e+000dB,-1.23930826683205e+002°)
2.29739670999407e+003	(2.62738313602462e+000dB,-1.25857082263819e+002°)
2.46228882668983e+003	(3.00686158170555e+000dB,-1.27818535501922e+002°)
2.63901582154579e+003	(3.36653140710792e+000dB,-1.29807446173455e+002°)
2.82842712474619e+003	(3.70585904144316e+000dB,-1.31815379973559e+002°)
3.03143313302080e+003	(4.02448956835823e+000dB,-1.33833386616416e+002°)
3.24900958542494e+003	(4.32226009724064e+000dB,-1.35852205588575e+002°)
3.48220225318450e+003	(4.59920610558106e+000dB,-1.37862488780252e+002°)
3.73213196614723e+003	(4.85556025595452e+000dB,-1.39855027462526e+002°)
4.00000000000000e+003	(5.09174378738149e+000dB,-1.41820970614423e+002°)
4.28709385014517e+003	(5.30835116374719e+000dB,-1.43752022510325e+002°)
4.59479341998814e+003	(5.50612915438258e+000dB,-1.45640609603882e+002°)
4.92457765337966e+003	(5.68595186466612e+000dB,-1.47480009747889e+002°)
5.27803164309157e+003	(5.84879339660446e+000dB,-1.49264440213111e+002°)
5.65685424949238e+003	(5.99569980124478e+000dB,-1.50989104343438e+002°)
6.06286626604159e+003	(6.12776181379438e+000dB,-1.52650199604574e+002°)
6.49801917084988e+003	(6.24608958360017e+000dB,-1.54244892007367e+002°)
6.96440450636899e+003	(6.35179027623074e+000dB,-1.55771263234756e+002°)
7.46426393229446e+003	(6.44594908186191e+000dB,-1.57228237409774e+002°)
8.00000000000000e+003	(6.52961385075613e+000dB,-1.58615494297675e+002°)
8.57418770029034e+003	(6.60378331719376e+000dB,-1.59933375129621e+002°)
9.18958683997627e+003	(6.66939867894735e+000dB,-1.61182786294284e+002°)
9.84915530675933e+003	(6.72733817071389e+000dB,-1.62365105058966e+002°)
1.05560632861831e+004	(6.77841419981157e+000dB,-1.63482090408785e+002°)
1.13137084989848e+004	(6.82337258984568e+000dB,-1.64535801062642e+002°)
1.21257325320832e+004	(6.86289349057981e+000dB,-1.65528521896741e+002°)
1.29960383416998e+004	(6.89759354817685e+000dB,-1.66462699315356e+002°)
1.39288090127380e+004	(6.92802897932683e+000dB,-1.67340885538507e+002°)
1.49285278645889e+004	(6.95469924775321e+000dB,-1.68165691474183e+002°)
1.60000000000000e+004	(6.97805109663951e+000dB,-1.68939747537883e+002°)
1.71483754005807e+004	(6.99848274198358e+000dB,-1.69665671670779e+002°)
1.83791736799525e+004	(7.01634807770701e+000dB,-1.70346043737183e+002°)
1.96983106135186e+004	(7.03196078259573e+000dB,-1.70983385468180e+002°)
2.11121265723663e+004	(7.04559825170243e+000dB,-1.71580145180993e+002°)
2.26274169979695e+004	(7.05750530109378e+000dB,-1.72138686499826e+002°)
2.42514650641664e+004	(7.06789761542400e+000dB,-1.72661280449779e+002°)
2.59920766833995e+004	(7.07696492356598e+000dB,-1.73150100310483e+002°)
2.78576180254759e+004	(7.08487389922032e+000dB,-1.73607218722099e+002°)
2.98570557291778e+004	(7.09177079181987e+000dB,-1.74034606599953e+002°)
3.20000000000000e+004	(7.09778379882453e+000dB,-1.74434133481751e+002°)
3.42967508011614e+004	(7.10302519424430e+000dB,-1.74807568991407e+002°)
3.67583473599051e+004	(7.10759323042314e+000dB,-1.75156585158601e+002°)
3.93966212270373e+004	(7.11157383116020e+000dB,-1.75482759362008e+002°)
4.22242531447326e+004	(7.11504209445355e+000dB,-1.75787577764270e+002°)
4.52548339959390e+004	(7.11806362277900e+000dB,-1.76072439019226e+002°)
4.85029301283327e+004	(7.12069569804350e+000dB,-1.76338658211714e+002°)
5.19841533667990e+004	(7.12298831733784e+000dB,-1.76587470892725e+002°)
5.57152360509519e+004	(7.12498510445247e+000dB,-1.76820037152878e+002°)
5.97141114583556e+004	(7.12672411089920e+000dB,-1.77037445676066e+002°)
6.39999999999999e+004	(7.12823851895207e+000dB,-1.77240717730496e+002°)
6.85935016023227e+004	(7.12955725802338e+000dB,-1.77430811065125e+002°)
7.35166947198102e+004	(7.13070554454882e+000dB,-1.77608623692564e+002°)
