time	V(vo)	V(n003)
Step Information: R_e=220  (Run: 1/2)
0.000000000000000e+000	5.941526e-004	0.000000e+000
1.953124944761853e-012	5.310607e-004	1.840777e-009
3.906249889523705e-012	5.098765e-004	3.681554e-009
7.812499779047410e-012	5.094174e-004	7.363107e-009
3.124999911618964e-011	5.682764e-004	2.945243e-008
6.249999823237928e-011	5.957403e-004	5.890486e-008
1.249999964647586e-010	5.876655e-004	1.178097e-007
2.499999929295171e-010	5.713511e-004	2.356194e-007
4.999999858590343e-010	5.473638e-004	4.712389e-007
9.999999717180685e-010	4.989746e-004	9.424778e-007
1.999999943436137e-009	3.842637e-004	1.884956e-006
3.999999886872274e-009	1.239922e-004	3.769911e-006
7.999999773744548e-009	-4.349714e-004	7.539822e-006
3.199999909497819e-008	-3.863249e-003	3.015927e-005
2.209124992759826e-006	-3.144125e-001	2.075372e-003
4.162249992759827e-006	-5.876079e-001	3.878265e-003
5.920062492759824e-006	-8.239080e-001	5.451750e-003
7.677874992759821e-006	-1.046504e+000	6.958800e-003
9.435687492759826e-006	-1.251061e+000	8.381050e-003
1.119349999275983e-005	-1.433529e+000	9.701168e-003
1.295131249275984e-005	-1.590294e+000	1.090307e-002
1.470912499275984e-005	-1.718294e+000	1.197210e-002
1.646693749275983e-005	-1.815125e+000	1.289524e-002
1.822474999275982e-005	-1.879102e+000	1.366124e-002
1.998256249275981e-005	-1.909294e+000	1.426076e-002
2.174037499275980e-005	-1.905538e+000	1.468650e-002
2.349818749275979e-005	-1.868411e+000	1.493327e-002
2.525599999275978e-005	-1.799190e+000	1.499806e-002
2.701381249275977e-005	-1.699790e+000	1.488008e-002
2.896693749275976e-005	-1.556980e+000	1.453647e-002
3.092006249275975e-005	-1.384045e+000	1.397421e-002
3.287318749275974e-005	-1.185594e+000	1.320176e-002
3.482631249275973e-005	-9.665963e-001	1.223075e-002
3.697474999275971e-005	-7.081149e-001	1.095081e-002
3.951381249275970e-005	-3.879752e-001	9.183316e-003
4.185756249275968e-005	-8.723555e-002	7.343653e-003
4.244349999275968e-005	-1.223707e-002	6.857261e-003
4.302943749275968e-005	6.245390e-002	6.361575e-003
