#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2023-11-30 14:11:29.505
#Sample rate: 2.5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 5 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 10 kHz
#Period: 100 us
#Amplitude: 15 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: DC
#Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
0.39281218,-0.002106283894522499,-0.01216683496158107
0.39281222,-0.003452619287408829,-0.01319467517166727
0.39281226,-0.002106283895834535,-0.01319467517166727
0.3928123,-0.003452619287322808,-0.01319467517148171
0.39281234,-0.002779451591545763,-0.01285206176854016
0.39281238,-0.002779451591545763,-0.01353728857445505
0.39281242,-0.002106283895640148,-0.01387990197818294
0.39281246,-0.002779451591427294,-0.01456512878409752
0.3928125,-0.002779451592238209,-0.01353728857503993
0.39281254,-0.003789203135704645,-0.01387990197772457
0.39281258,-0.003452619287810919,-0.01250944836589478
0.39281262,-0.003789203135924593,-0.01285206176886828
0.39281266,-0.00412578698381832,-0.01353728857478317
0.3928127,-0.002442867744414738,-0.01387990197775137
0.39281274,-0.002779451591545763,-0.01353728857490875
0.39281278,-0.002779451591545763,-0.01387990197786619
0.39281282,-0.002779451591545763,-0.01319467517144868
0.39281286,-0.002779451591545763,-0.01285206176868287
0.3928129,-0.002779451591545763,-0.01422251538051203
0.39281294,-0.002779451591094387,-0.01387990197855531
0.39281298,-0.001769700047413667,-0.01525035559038447
0.39281302,-0.002106283895200251,-0.01627819579928408
0.39281306,-0.00176970004733331,-0.01525035559005573
0.3928131,-0.00176970004733331,-0.01353728857526927
0.39281314,-0.002442867744270249,-0.01285206176852956
0.39281318,-0.003789203135693471,-0.01285206176852956
0.39281322,-0.002779451592012292,-0.01285206176852956
0.39281326,-0.003116035439616581,-0.01216683496239094
0.3928133,-0.003116035439616581,-0.01250944836534838
0.39281334,-0.00412578698316919,-0.01182422155956421
0.39281338,-0.003116035439616581,-0.01319467517180968
0.39281342,-0.003116035439616581,-0.01387990197772457
0.39281346,-0.002442867743292191,-0.01456512878440414
0.3928135,-0.002106283895421118,-0.01490774218733276
0.39281354,-0.003116035439101838,-0.0135372885755036
0.39281358,-0.00277945159190117,-0.01250944836551244
0.39281362,-0.00378920313558189,-0.01285206176846973
0.39281366,-0.003452619287225156,-0.01353728857551077
0.3928137,-0.002779451591545763,-0.01456512878432811
0.39281374,-0.002779451591545763,-0.01525035559024269
0.39281378,-0.001769700047833819,-0.01387990197794269
0.39281382,-0.002779451591514539,-0.01387990197794269
0.39281386,-0.003116035439429082,-0.01422251538088954
0.3928139,-0.002442867743372548,-0.01525035559059776
0.39281394,-0.002106283895478822,-0.01559296899355521
0.39281398,-0.001096532351622082,-0.01490774218713676
0.39281402,-0.001769700047409228,-0.01456512878410219
0.39281406,-0.002442867743196682,-0.01353728857522985
0.3928141,-0.003116035439767346,-0.01250944836569878
0.39281414,-0.003452619287661072,-0.01319467517161368
0.39281418,-0.003116035439820152,-0.01353728857459776
0.39281422,-0.003789203135498778,-0.01490774218691568
0.39281426,-0.002779451591818058,-0.01319467517212923
0.3928143,-0.002106283895802392,-0.0142225153814858
0.39281434,-0.002779451591523723,-0.01490774218731095
0.39281438,-0.002442867743630149,-0.01422251538139637
0.39281442,-0.002106283895538975,-0.01387990197821722
0.39281446,-0.002442867743432548,-0.0145651287841318
0.3928145,-0.002779451591326274,-0.01422251538130382
0.39281454,-0.002779451591545763,-0.01456512878421811
0.39281458,-0.002779451591545763,-0.01456512878421811
0.39281462,-0.002779451591728977,-0.01456512878440461
0.39281466,-0.003116035439610612,-0.01490774218734974
0.3928147,-0.002779451591716885,-0.0145651287843923
0.39281474,-0.003116035439497806,-0.01387990197782179
0.39281478,-0.00277945159160408,-0.01353728857486434
0.39281482,-0.003452619287455818,-0.0152503555902578
0.39281486,-0.003116035439344133,-0.01490774218746675
0.3928149,-0.001433116199876266,-0.01559296899338133
0.39281494,-0.003116035439282297,-0.01422251538091026
0.39281498,-0.002442867743494843,-0.01387990197795282
0.39281502,-0.002779451591358723,-0.01353728857499537
0.39281506,-0.00277945159164862,-0.01216683496235884
0.3928151,-0.003116035439542194,-0.01250944836531613
0.39281514,-0.003116035439185256,-0.01353728857436593
0.39281518,-0.002442867743551782,-0.01285206176868599
0.39281522,-0.003116035439339235,-0.01422251538051577
0.39281526,-0.003116035439314133,-0.01319467517166727
0.3928153,-0.00244286774352668,-0.01319467517166727
0.39281534,-0.001769700047739533,-0.01353728857459823
0.39281538,-0.003116035439529796,-0.01319467517175561
0.39281542,-0.002779451591636069,-0.01353728857471306
0.39281546,-0.002106283896402083,-0.0128520617689359
0.3928155,-0.003789203135645717,-0.01353728857482788
0.39281554,-0.002106283896177849,-0.01387990197778518
0.39281558,-0.003452619287416788,-0.01319467517166727
0.39281562,-0.002779451591629641,-0.01319467517166727
0.39281566,-0.002442867743693975,-0.01319467517166727
0.3928157,-0.003116035439545714,-0.01387990197772628
0.39281574,-0.002779451591652141,-0.01285206176885441
0.39281578,-0.002779451591362091,-0.01525035558937175
0.39281582,-0.002442867743494232,-0.01319467517168036
0.39281586,-0.003452619287175411,-0.01387990197759525
0.3928159,-0.00244286774359418,-0.01319467517178864
0.39281594,-0.002779451591487906,-0.01353728857474609
0.39281598,-0.002779451592241883,-0.01285206176852956
0.39281602,-0.003789203135648624,-0.01285206176852956
0.39281606,-0.003116035439861172,-0.01285206176852956
0.3928161,-0.003789203135423013,-0.01387990197760148
0.39281614,-0.003116035439635561,-0.01319467517168659
0.39281618,-0.002779451591732497,-0.0135372885746149
0.39281622,-0.002442867743474946,-0.01353728857501531
0.39281626,-0.002442867743474946,-0.0142225153809299
0.3928163,-0.002779451591761732,-0.01353728857436531
0.39281634,-0.003116035439538826,-0.01285206176860871
0.39281638,-0.002442867743751679,-0.01353728857452329
0.39281642,-0.003116035439464898,-0.01353728857511378
0.39281646,-0.002779451591571325,-0.01422251538102836
0.3928165,-0.003116035439413929,-0.01319467517228612
0.39281654,-0.002779451591807497,-0.01422251538081398
0.39281658,-0.003789203135488676,-0.01319467517194164
0.39281662,-0.003116035439816631,-0.01353728857480498
0.39281666,-0.003452619287687399,-0.0135372885748282
0.3928167,-0.003452619287687399,-0.01387990197778564
0.39281674,-0.002779451591816987,-0.01387990197794269
0.39281678,-0.00345261928760444,-0.01387990197794269
0.39281682,-0.003116035439835305,-0.01422251538085776
0.39281686,-0.002442867743617598,-0.0149077421870654
0.3928169,-0.003116035439404745,-0.01353728857523624
0.39281694,-0.003452619287687399,-0.01422251538145495
0.39281698,-0.003452619287680511,-0.0149077421873418
0.39281702,-0.003116035439786784,-0.01422251538142691
0.39281706,-0.002779451591186683,-0.01422251538120224
0.3928171,-0.001769700047505963,-0.01456512878415953
0.39281714,-0.001769700047565809,-0.01490774218759248
0.39281718,-0.002106283895293618,-0.0152503555903248
0.39281722,-0.001433116199506165,-0.01422251538145246
0.39281726,-0.002106283895740249,-0.01387990197811376
0.3928173,-0.002779451591527396,-0.01422251538107105
0.39281734,-0.002779451591545763,-0.0142225153810804
0.39281738,-0.002106283895714994,-0.01422251538139684
0.39281742,-0.003116035439396174,-0.01525035559026918
0.39281746,-0.002442867743691373,-0.0142225153808601
0.3928175,-0.002779451591545763,-0.01387990197798273
0.39281754,-0.002779451591545763,-0.01422251538094002
0.39281758,-0.002779451591697752,-0.01353728857542383
0.39281762,-0.003116035439591479,-0.01490774218725361
0.39281766,-0.002442867743879332,-0.01525035559028772
0.3928177,-0.002442867743562649,-0.01593558239676895
0.39281774,-0.002779451591456223,-0.01593558239676895
0.39281778,-0.002779451591545763,-0.01593558239636075
0.39281782,-0.002779451591569029,-0.01525035559042249
0.39281786,-0.003116035439462755,-0.01422251538155015
0.3928179,-0.003789203135350003,-0.013537288575082
0.39281794,-0.002779451591668824,-0.01422251538099689
0.39281798,-0.003116035439398317,-0.01525035558982701
0.39281802,-0.002442867743403313,-0.01525035559049353
0.39281806,-0.002106283895509587,-0.01525035559049353
0.3928181,-0.002442867743843822,-0.01422251538051717
0.39281814,-0.003116035439623928,-0.01319467517170466
0.39281818,-0.003452619287517502,-0.01490774218649112
0.39281822,-0.002779451591665916,-0.01353728857504959
0.39281826,-0.00311603543955949,-0.01422251538096417
0.3928183,-0.003116035439849386,-0.01456512878421811
0.39281834,-0.003452619287575971,-0.01456512878427482
0.39281838,-0.002779451591788824,-0.01490774218723211
0.39281842,-0.002779451592219842,-0.01456512878353196
0.39281846,-0.004125786983794136,-0.0131946751717028
0.3928185,-0.00345261928805903,-0.01285206176871871
0.39281854,-0.0031160354395125,-0.01353728857501687
0.39281858,-0.002779451591618773,-0.01422251538093177
0.39281862,-0.003116035439399694,-0.0149077421866935
0.39281866,-0.002779451591545763,-0.01387990197814446
0.3928187,-0.002779451591545763,-0.01559296899293169
0.39281874,-0.003789203135453319,-0.01456512878359739
0.39281878,-0.003116035439665867,-0.01319467517176761
0.39281882,-0.003452619287485512,-0.01216683496287065
0.39281886,-0.003789203135846379,-0.01319467517166727
0.3928189,-0.004125786983739953,-0.01319467517166727
