#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2023-11-30 14:29:45.137
#Start: 1 Hz
#Stop: 100000 Hz
#Steps: 16
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.51459 V
#Offset: -0.000249803 V
#Relative: no
#Channel: Channel 2
#Range: 5.61338 V
#Offset: -0.000167248 V
#Relative: yes
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: DC
#Offset: 0 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,-53.45086706230575,46.68187397055249,-79.94039081025144
2.154434690031882,-37.1656359168296,34.23261162139936,-73.51063724671549
4.641588833612772,-28.88568582409778,27.54343291287647,-83.03286170823287
10,-22.19682882566933,21.32188262850814,-80.06547842160154
21.54434690031882,-15.46408963898161,14.68697199034829,-70.99033625953518
46.41588833612772,-10.12949313533879,9.373518289259868,-55.54615030421971
100,-6.56479233840058,5.802909776874897,-34.01509842458083
215.4434690031884,-5.213938433222522,4.458275933458506,-15.5920129817598
464.1588833612777,-4.897455793604416,4.144067111689687,-2.025490031039965
1000,-5.188644200062143,4.423820148140665,10.31277796876489
2154.434690031882,-6.643402891034198,5.791681174519988,24.34649669625735
4641.588833612777,-9.423547403821487,8.590366202946447,34.62676584924621
10000.00000000001,-11.99877314533257,11.10891902370139,39.74926088980288
21544.34690031884,-12.97437775995668,12.03390468378727,47.77340827284056
46415.8883361278,-11.80280554894235,10.9174861984743,70.56972103346385
100000,-9.238888120522825,8.377933114857967,108.3682389454355
