#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2023-11-30 14:40:16.628
#Start: 1 Hz
#Stop: 100000 Hz
#Steps: 16
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.51459 V
#Offset: -0.000249803 V
#Relative: no
#Channel: Channel 2
#Range: 5.61338 V
#Offset: -0.000167248 V
#Relative: yes
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: DC
#Offset: 0 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,-45.11552009646821,5.404003983202622,-153.4320210195134
2.154434690031882,-36.79939238412996,3.288779383683104,-149.2542740356718
4.641588833612772,-28.1570486393235,1.909674809772596,-150.4659120070286
10,-21.04079241192142,3.314027034132342,-135.6900739563835
21.54434690031882,-14.51663648204977,7.003784143512132,-117.1966204688607
46.41588833612772,-9.280578953723486,12.76105072718238,-105.6037510279035
100,-6.133533969094071,19.08012154773186,-98.76999197998086
215.4434690031884,-5.029045547806247,25.45614430790515,-96.6136289808732
464.1588833612777,-5.115839031436784,31.84675258643029,-96.58991116849802
1000,-6.588114473642332,38.2597726626327,-98.89330203599201
2154.434690031882,-10.12576879114768,44.30458336537082,-104.7019590016816
4641.588833612777,-14.09402461998189,49.21390690014704,-113.5290498518708
10000.00000000001,-16.38218026978448,51.6550663405955,-117.7385709575663
21544.34690031884,-15.83346931615478,51.16815933971181,-107.2817812073812
46415.8883361278,-12.89413702505397,47.78642633889228,-84.94636839180154
100000,-10.5651545388295,43.62559149042917,-60.28050625539295
