r_l	I(Rl)
Step Information: V_i=2.5 R_e=100  (Run: 1/4)
1.000000000000000e-006	1.772134e-002
1.258925411794167e-006	1.772135e-002
1.584893192461113e-006	1.772135e-002
1.995262314968880e-006	1.772135e-002
2.511886431509580e-006	1.772135e-002
3.162277660168380e-006	1.772135e-002
3.981071705534973e-006	1.772135e-002
5.011872336272724e-006	1.772135e-002
6.309573444801935e-006	1.772135e-002
7.943282347242818e-006	1.772135e-002
1.000000000000000e-005	1.772135e-002
1.258925411794168e-005	1.772135e-002
1.584893192461115e-005	1.772135e-002
1.995262314968881e-005	1.772135e-002
2.511886431509582e-005	1.772135e-002
3.162277660168382e-005	1.772135e-002
3.981071705534976e-005	1.772135e-002
5.011872336272727e-005	1.772135e-002
6.309573444801939e-005	1.772135e-002
7.943282347242823e-005	1.772135e-002
1.000000000000001e-004	1.772135e-002
1.258925411794169e-004	1.772135e-002
1.584893192461116e-004	1.772135e-002
1.995262314968882e-004	1.772135e-002
2.511886431509584e-004	1.772135e-002
3.162277660168384e-004	1.772135e-002
3.981071705534979e-004	1.772135e-002
5.011872336272731e-004	1.772135e-002
6.309573444801943e-004	1.772135e-002
7.943282347242828e-004	1.772135e-002
1.000000000000002e-003	1.772135e-002
1.258925411794169e-003	1.772135e-002
1.584893192461117e-003	1.772135e-002
1.995262314968883e-003	1.772135e-002
2.511886431509585e-003	1.772135e-002
3.162277660168385e-003	1.772135e-002
3.981071705534980e-003	1.772135e-002
5.011872336272732e-003	1.772135e-002
6.309573444801944e-003	1.772135e-002
7.943282347242829e-003	1.772135e-002
1.000000000000002e-002	1.772134e-002
1.258925411794170e-002	1.772134e-002
1.584893192461117e-002	1.772134e-002
1.995262314968884e-002	1.772134e-002
2.511886431509586e-002	1.772134e-002
3.162277660168387e-002	1.772134e-002
3.981071705534982e-002	1.772134e-002
5.011872336272736e-002	1.772134e-002
6.309573444801950e-002	1.772134e-002
7.943282347242837e-002	1.772134e-002
1.000000000000003e-001	1.772134e-002
1.258925411794171e-001	1.772133e-002
1.584893192461118e-001	1.772133e-002
1.995262314968886e-001	1.772133e-002
2.511886431509588e-001	1.772132e-002
3.162277660168389e-001	1.772132e-002
3.981071705534985e-001	1.772131e-002
5.011872336272739e-001	1.772130e-002
6.309573444801954e-001	1.772129e-002
7.943282347242842e-001	1.772127e-002
1.000000000000003e+000	1.772126e-002
1.258925411794172e+000	1.772123e-002
1.584893192461119e+000	1.772120e-002
1.995262314968887e+000	1.772117e-002
2.511886431509589e+000	1.772112e-002
3.162277660168391e+000	1.772106e-002
3.981071705534987e+000	1.772099e-002
5.011872336272742e+000	1.772089e-002
6.309573444801957e+000	1.772078e-002
7.943282347242846e+000	1.772063e-002
1.000000000000004e+001	1.772044e-002
1.258925411794172e+001	1.772021e-002
1.584893192461120e+001	1.771992e-002
1.995262314968888e+001	1.771955e-002
2.511886431509591e+001	1.771908e-002
3.162277660168393e+001	1.771849e-002
3.981071705534990e+001	1.771774e-002
5.011872336272745e+001	1.771680e-002
6.309573444801961e+001	1.771561e-002
7.943282347242851e+001	1.771411e-002
1.000000000000005e+002	1.771221e-002
1.258925411794173e+002	1.770979e-002
1.584893192461121e+002	1.770672e-002
1.995262314968889e+002	1.770280e-002
2.511886431509593e+002	1.769780e-002
3.162277660168395e+002	1.769111e-002
3.981071705534993e+002	1.768305e-002
5.011872336272749e+002	1.631765e-002
6.309573444801965e+002	1.302352e-002
7.943282347242857e+002	1.036640e-002
1.000000000000005e+003	8.245056e-003
1.258925411794174e+003	6.555248e-003
1.584893192461122e+003	5.210496e-003
1.995262314968891e+003	4.140924e-003
2.511886431509594e+003	3.290518e-003
3.162277660168397e+003	2.614530e-003
3.981071705534995e+003	2.077277e-003
5.011872336272751e+003	1.650340e-003
6.309573444801968e+003	1.311099e-003
7.943282347242860e+003	1.041566e-003
1.000000000000000e+004	8.274166e-004
Step Information: V_i=5 R_e=100  (Run: 2/4)
1.000000000000000e-006	4.221499e-002
1.258925411794167e-006	4.221499e-002
1.584893192461113e-006	4.221499e-002
1.995262314968880e-006	4.221499e-002
2.511886431509580e-006	4.221499e-002
3.162277660168380e-006	4.221499e-002
3.981071705534973e-006	4.221499e-002
5.011872336272724e-006	4.221499e-002
6.309573444801935e-006	4.221499e-002
7.943282347242818e-006	4.221499e-002
1.000000000000000e-005	4.221499e-002
1.258925411794168e-005	4.221499e-002
1.584893192461115e-005	4.221499e-002
1.995262314968881e-005	4.221499e-002
2.511886431509582e-005	4.221499e-002
3.162277660168382e-005	4.221499e-002
3.981071705534976e-005	4.221499e-002
5.011872336272727e-005	4.221499e-002
6.309573444801939e-005	4.221499e-002
7.943282347242823e-005	4.221499e-002
1.000000000000001e-004	4.221499e-002
1.258925411794169e-004	4.221499e-002
1.584893192461116e-004	4.221499e-002
1.995262314968882e-004	4.221499e-002
2.511886431509584e-004	4.221499e-002
3.162277660168384e-004	4.221499e-002
3.981071705534979e-004	4.221499e-002
5.011872336272731e-004	4.221499e-002
6.309573444801943e-004	4.221499e-002
7.943282347242828e-004	4.221499e-002
1.000000000000002e-003	4.221499e-002
1.258925411794169e-003	4.221499e-002
1.584893192461117e-003	4.221499e-002
1.995262314968883e-003	4.221499e-002
2.511886431509585e-003	4.221499e-002
3.162277660168385e-003	4.221499e-002
3.981071705534980e-003	4.221499e-002
5.011872336272732e-003	4.221499e-002
6.309573444801944e-003	4.221499e-002
7.943282347242829e-003	4.221499e-002
1.000000000000002e-002	4.221499e-002
1.258925411794170e-002	4.221499e-002
1.584893192461117e-002	4.221499e-002
1.995262314968884e-002	4.221498e-002
2.511886431509586e-002	4.221498e-002
3.162277660168387e-002	4.221498e-002
3.981071705534982e-002	4.221497e-002
5.011872336272736e-002	4.221497e-002
6.309573444801950e-002	4.221497e-002
7.943282347242837e-002	4.221496e-002
1.000000000000003e-001	4.221496e-002
1.258925411794171e-001	4.221495e-002
1.584893192461118e-001	4.221494e-002
1.995262314968886e-001	4.221492e-002
2.511886431509588e-001	4.221490e-002
3.162277660168389e-001	4.221488e-002
3.981071705534985e-001	4.221486e-002
5.011872336272739e-001	4.221482e-002
6.309573444801954e-001	4.221478e-002
7.943282347242842e-001	4.221472e-002
1.000000000000003e+000	4.221465e-002
