vin	V(vgs)	V(vo)	I(Rd)
1.800000000000000e+000	1.800000e+000	4.999639e+000	1.803847e-006
1.801000000000000e+000	1.801000e+000	4.999632e+000	1.839802e-006
1.802000000000000e+000	1.802000e+000	4.999625e+000	1.877208e-006
1.803000000000000e+000	1.803000e+000	4.999617e+000	1.914999e-006
1.804000000000000e+000	1.804000e+000	4.999609e+000	1.953548e-006
1.805000000000000e+000	1.805000e+000	4.999601e+000	1.992873e-006
1.805999999999999e+000	1.806000e+000	4.999593e+000	2.032988e-006
1.806999999999999e+000	1.807000e+000	4.999585e+000	2.073908e-006
1.807999999999999e+000	1.808000e+000	4.999577e+000	2.115651e-006
1.808999999999999e+000	1.809000e+000	4.999568e+000	2.158233e-006
1.809999999999999e+000	1.810000e+000	4.999560e+000	2.201669e-006
1.810999999999999e+000	1.811000e+000	4.999551e+000	2.245979e-006
1.811999999999999e+000	1.812000e+000	4.999542e+000	2.291178e-006
1.812999999999999e+000	1.813000e+000	4.999533e+000	2.337285e-006
1.813999999999999e+000	1.814000e+000	4.999523e+000	2.384319e-006
1.814999999999998e+000	1.815000e+000	4.999514e+000	2.432297e-006
1.815999999999998e+000	1.816000e+000	4.999504e+000	2.481238e-006
1.816999999999998e+000	1.817000e+000	4.999494e+000	2.531163e-006
1.817999999999998e+000	1.818000e+000	4.999484e+000	2.582089e-006
1.818999999999998e+000	1.819000e+000	4.999473e+000	2.634039e-006
1.819999999999998e+000	1.820000e+000	4.999463e+000	2.687031e-006
1.820999999999998e+000	1.821000e+000	4.999452e+000	2.741087e-006
1.821999999999998e+000	1.822000e+000	4.999441e+000	2.796229e-006
1.822999999999998e+000	1.823000e+000	4.999430e+000	2.852477e-006
1.823999999999997e+000	1.824000e+000	4.999418e+000	2.909854e-006
1.824999999999997e+000	1.825000e+000	4.999406e+000	2.968384e-006
1.825999999999997e+000	1.826000e+000	4.999394e+000	3.028087e-006
1.826999999999997e+000	1.827000e+000	4.999382e+000	3.088989e-006
1.827999999999997e+000	1.828000e+000	4.999370e+000	3.151113e-006
1.828999999999997e+000	1.829000e+000	4.999357e+000	3.214484e-006
1.829999999999997e+000	1.830000e+000	4.999344e+000	3.279126e-006
1.830999999999997e+000	1.831000e+000	4.999331e+000	3.345065e-006
1.831999999999997e+000	1.832000e+000	4.999318e+000	3.412327e-006
1.832999999999996e+000	1.833000e+000	4.999304e+000	3.480938e-006
1.833999999999996e+000	1.834000e+000	4.999290e+000	3.550926e-006
1.834999999999996e+000	1.835000e+000	4.999276e+000	3.622317e-006
1.835999999999996e+000	1.836000e+000	4.999261e+000	3.695140e-006
1.836999999999996e+000	1.837000e+000	4.999246e+000	3.769424e-006
1.837999999999996e+000	1.838000e+000	4.999231e+000	3.845197e-006
1.838999999999996e+000	1.839000e+000	4.999216e+000	3.922490e-006
1.839999999999996e+000	1.840000e+000	4.999200e+000	4.001332e-006
1.840999999999996e+000	1.841000e+000	4.999184e+000	4.081755e-006
1.841999999999995e+000	1.842000e+000	4.999167e+000	4.163790e-006
