vdd	V(vgs)	V(vo)	I(Rd)
Step Information: Vin=2.19  (Run: 1/3)
0.000000000000000e+000	2.190000e+000	2.715723e-028	-1.357862e-030
5.000000000000000e-002	2.190000e+000	1.085333e-003	2.445733e-004
1.000000000000000e-001	2.190000e+000	2.213932e-003	4.889303e-004
1.500000000000000e-001	2.190000e+000	3.391470e-003	7.330427e-004
2.000000000000000e-001	2.190000e+000	4.624906e-003	9.768754e-004
2.500000000000000e-001	2.190000e+000	5.923055e-003	1.220385e-003
3.000000000000000e-001	2.190000e+000	7.297321e-003	1.463513e-003
3.500000000000000e-001	2.190000e+000	8.762912e-003	1.706185e-003
4.000000000000000e-001	2.190000e+000	1.034089e-002	1.948296e-003
4.500000000000000e-001	2.190000e+000	1.206189e-002	2.189690e-003
4.999999999999999e-001	2.190000e+000	1.397366e-002	2.430132e-003
5.499999999999999e-001	2.190000e+000	1.615818e-002	2.669209e-003
6.000000000000000e-001	2.190000e+000	1.878022e-002	2.906099e-003
6.500000000000000e-001	2.190000e+000	2.233872e-002	3.138306e-003
7.000000000000001e-001	2.190000e+000	3.950729e-002	3.302464e-003
7.500000000000001e-001	2.190000e+000	8.950729e-002	3.302464e-003
8.000000000000002e-001	2.190000e+000	1.395073e-001	3.302464e-003
8.500000000000002e-001	2.190000e+000	1.895073e-001	3.302464e-003
9.000000000000002e-001	2.190000e+000	2.395073e-001	3.302464e-003
9.500000000000003e-001	2.190000e+000	2.895073e-001	3.302464e-003
1.000000000000000e+000	2.190000e+000	3.395073e-001	3.302464e-003
1.050000000000000e+000	2.190000e+000	3.895073e-001	3.302464e-003
1.100000000000000e+000	2.190000e+000	4.395073e-001	3.302464e-003
1.150000000000000e+000	2.190000e+000	4.895073e-001	3.302464e-003
1.200000000000000e+000	2.190000e+000	5.395073e-001	3.302464e-003
1.250000000000000e+000	2.190000e+000	5.895073e-001	3.302464e-003
1.300000000000001e+000	2.190000e+000	6.395073e-001	3.302464e-003
1.350000000000001e+000	2.190000e+000	6.895073e-001	3.302464e-003
1.400000000000001e+000	2.190000e+000	7.395073e-001	3.302464e-003
1.450000000000001e+000	2.190000e+000	7.895073e-001	3.302464e-003
1.500000000000001e+000	2.190000e+000	8.395073e-001	3.302464e-003
1.550000000000001e+000	2.190000e+000	8.895073e-001	3.302464e-003
