vdd	V(vdd)	V(vo)	I(Rd)
Step Information: Vin=3  (Run: 1/3)
0.000000000000000e+000	0.000000e+000	-1.456263e-023	7.281316e-026
5.000000000000000e-002	5.000000e-002	4.552057e-005	2.497724e-004
1.000000000000000e-001	1.000000e-001	9.104681e-005	4.995448e-004
1.500000000000000e-001	1.500000e-001	1.365745e-004	7.493171e-004
2.000000000000000e-001	2.000000e-001	1.821050e-004	9.990894e-004
2.500000000000000e-001	2.500000e-001	2.276383e-004	1.248862e-003
3.000000000000000e-001	3.000000e-001	2.731745e-004	1.498634e-003
3.500000000000000e-001	3.500000e-001	3.187135e-004	1.748406e-003
4.000000000000000e-001	4.000000e-001	3.642554e-004	1.998179e-003
4.500000000000000e-001	4.500000e-001	4.098001e-004	2.247951e-003
4.999999999999999e-001	5.000000e-001	4.553476e-004	2.497723e-003
5.499999999999999e-001	5.500000e-001	5.008981e-004	2.747495e-003
6.000000000000000e-001	6.000000e-001	5.464513e-004	2.997268e-003
6.500000000000000e-001	6.500000e-001	5.920074e-004	3.247040e-003
7.000000000000001e-001	7.000000e-001	6.375663e-004	3.496812e-003
7.500000000000001e-001	7.500000e-001	6.831281e-004	3.746584e-003
8.000000000000002e-001	8.000000e-001	7.286927e-004	3.996356e-003
8.500000000000002e-001	8.500000e-001	7.742601e-004	4.246129e-003
9.000000000000002e-001	9.000000e-001	8.198305e-004	4.495901e-003
9.500000000000003e-001	9.500000e-001	8.654037e-004	4.745673e-003
1.000000000000000e+000	1.000000e+000	9.109797e-004	4.995445e-003
1.050000000000000e+000	1.050000e+000	9.565585e-004	5.245217e-003
1.100000000000000e+000	1.100000e+000	1.002140e-003	5.494989e-003
1.150000000000000e+000	1.150000e+000	1.047725e-003	5.744761e-003
1.200000000000000e+000	1.200000e+000	1.093312e-003	5.994534e-003
1.250000000000000e+000	1.250000e+000	1.138903e-003	6.244306e-003
1.300000000000001e+000	1.300000e+000	1.184496e-003	6.494077e-003
1.350000000000001e+000	1.350000e+000	1.230092e-003	6.743850e-003
1.400000000000001e+000	1.400000e+000	1.275690e-003	6.993622e-003
1.450000000000001e+000	1.450000e+000	1.321292e-003	7.243393e-003
1.500000000000001e+000	1.500000e+000	1.366897e-003	7.493165e-003
1.550000000000001e+000	1.550000e+000	1.412504e-003	7.742938e-003
1.600000000000001e+000	1.600000e+000	1.458114e-003	7.992709e-003
1.650000000000001e+000	1.650000e+000	1.503727e-003	8.242481e-003
1.700000000000001e+000	1.700000e+000	1.549343e-003	8.492254e-003
1.750000000000001e+000	1.750000e+000	1.594962e-003	8.742025e-003
1.800000000000001e+000	1.800000e+000	1.640584e-003	8.991797e-003
1.850000000000001e+000	1.850000e+000	1.686208e-003	9.241569e-003
1.900000000000001e+000	1.900000e+000	1.731836e-003	9.491341e-003
1.950000000000001e+000	1.950000e+000	1.777466e-003	9.741113e-003
2.000000000000001e+000	2.000000e+000	1.823099e-003	9.990885e-003
2.050000000000001e+000	2.050000e+000	1.868735e-003	1.024066e-002
2.100000000000001e+000	2.100000e+000	1.914374e-003	1.049043e-002
2.150000000000000e+000	2.150000e+000	1.960015e-003	1.074020e-002
2.200000000000000e+000	2.200000e+000	2.005660e-003	1.098997e-002
2.250000000000000e+000	2.250000e+000	2.051307e-003	1.123974e-002
2.300000000000000e+000	2.300000e+000	2.096958e-003	1.148952e-002
2.350000000000000e+000	2.350000e+000	2.142611e-003	1.173929e-002
2.400000000000000e+000	2.400000e+000	2.188267e-003	1.198906e-002
2.449999999999999e+000	2.450000e+000	2.233926e-003	1.223883e-002
2.499999999999999e+000	2.500000e+000	2.279587e-003	1.248860e-002
2.549999999999999e+000	2.550000e+000	2.325252e-003	1.273837e-002
2.599999999999999e+000	2.600000e+000	2.370919e-003	1.298815e-002
2.649999999999999e+000	2.650000e+000	2.416590e-003	1.323792e-002
2.699999999999998e+000	2.700000e+000	2.462263e-003	1.348769e-002
2.749999999999998e+000	2.750000e+000	2.507939e-003	1.373746e-002
2.799999999999998e+000	2.800000e+000	2.553618e-003	1.398723e-002
2.849999999999998e+000	2.850000e+000	2.599300e-003	1.423700e-002
2.899999999999998e+000	2.900000e+000	2.644984e-003	1.448677e-002
2.949999999999998e+000	2.950000e+000	2.690672e-003	1.473655e-002
2.999999999999997e+000	3.000000e+000	2.736362e-003	1.498632e-002
3.049999999999997e+000	3.050000e+000	2.782056e-003	1.523609e-002
3.099999999999997e+000	3.100000e+000	2.827752e-003	1.548586e-002
3.149999999999997e+000	3.150000e+000	2.873451e-003	1.573563e-002
3.199999999999997e+000	3.200000e+000	2.919153e-003	1.598541e-002
3.249999999999996e+000	3.250000e+000	2.964858e-003	1.623518e-002
3.299999999999996e+000	3.300000e+000	3.010565e-003	1.648495e-002
3.349999999999996e+000	3.350000e+000	3.056276e-003	1.673472e-002
3.399999999999996e+000	3.400000e+000	3.101989e-003	1.698449e-002
3.449999999999996e+000	3.450000e+000	3.147705e-003	1.723426e-002
3.499999999999996e+000	3.500000e+000	3.193424e-003	1.748403e-002
3.549999999999995e+000	3.550000e+000	3.239146e-003	1.773380e-002
3.599999999999995e+000	3.600000e+000	3.284871e-003	1.798358e-002
3.649999999999995e+000	3.650000e+000	3.330599e-003	1.823335e-002
3.699999999999995e+000	3.700000e+000	3.376330e-003	1.848312e-002
3.749999999999995e+000	3.750000e+000	3.422063e-003	1.873289e-002
3.799999999999995e+000	3.800000e+000	3.467800e-003	1.898266e-002
3.849999999999994e+000	3.850000e+000	3.513539e-003	1.923243e-002
3.899999999999994e+000	3.900000e+000	3.559281e-003	1.948220e-002
3.949999999999994e+000	3.950000e+000	3.605026e-003	1.973197e-002
3.999999999999994e+000	4.000000e+000	3.650774e-003	1.998175e-002
4.049999999999994e+000	4.050000e+000	3.696525e-003	2.023152e-002
4.099999999999993e+000	4.100000e+000	3.742279e-003	2.048129e-002
4.149999999999993e+000	4.150000e+000	3.788035e-003	2.073106e-002
4.199999999999993e+000	4.200000e+000	3.833795e-003	2.098083e-002
4.249999999999993e+000	4.250000e+000	3.879557e-003	2.123060e-002
4.299999999999993e+000	4.300000e+000	3.925322e-003	2.148037e-002
4.349999999999993e+000	4.350000e+000	3.971091e-003	2.173015e-002
4.399999999999992e+000	4.400000e+000	4.016861e-003	2.197991e-002
4.449999999999992e+000	4.450000e+000	4.062635e-003	2.222969e-002
4.499999999999992e+000	4.500000e+000	4.108412e-003	2.247946e-002
4.549999999999992e+000	4.550000e+000	4.154192e-003	2.272923e-002
4.599999999999992e+000	4.600000e+000	4.199974e-003	2.297900e-002
4.649999999999992e+000	4.650000e+000	4.245760e-003	2.322877e-002
4.699999999999991e+000	4.700000e+000	4.291548e-003	2.347854e-002
4.749999999999991e+000	4.750000e+000	4.337339e-003	2.372831e-002
4.799999999999991e+000	4.800000e+000	4.383133e-003	2.397808e-002
4.849999999999991e+000	4.850000e+000	4.428931e-003	2.422786e-002
4.899999999999991e+000	4.900000e+000	4.474730e-003	2.447763e-002
4.949999999999990e+000	4.950000e+000	4.520533e-003	2.472740e-002
5.000000000000000e+000	5.000000e+000	4.566339e-003	2.497717e-002
Step Information: Vin=3.68  (Run: 2/3)
0.000000000000000e+000	0.000000e+000	4.203189e-031	-2.101594e-033
5.000000000000000e-002	5.000000e-002	2.355882e-005	2.498822e-004
1.000000000000000e-001	1.000000e-001	4.711838e-005	4.997644e-004
1.500000000000000e-001	1.500000e-001	7.067813e-005	7.496466e-004
2.000000000000000e-001	2.000000e-001	9.423825e-005	9.995288e-004
2.500000000000000e-001	2.500000e-001	1.177987e-004	1.249411e-003
3.000000000000000e-001	3.000000e-001	1.413596e-004	1.499293e-003
3.500000000000000e-001	3.500000e-001	1.649208e-004	1.749175e-003
4.000000000000000e-001	4.000000e-001	1.884824e-004	1.999058e-003
4.500000000000000e-001	4.500000e-001	2.120444e-004	2.248940e-003
4.999999999999999e-001	5.000000e-001	2.356068e-004	2.498822e-003
5.499999999999999e-001	5.500000e-001	2.591695e-004	2.748704e-003
6.000000000000000e-001	6.000000e-001	2.827326e-004	2.998586e-003
6.500000000000000e-001	6.500000e-001	3.062960e-004	3.248469e-003
7.000000000000001e-001	7.000000e-001	3.298598e-004	3.498351e-003
7.500000000000001e-001	7.500000e-001	3.534241e-004	3.748233e-003
8.000000000000002e-001	8.000000e-001	3.769886e-004	3.998115e-003
8.500000000000002e-001	8.500000e-001	4.005536e-004	4.247997e-003
9.000000000000002e-001	9.000000e-001	4.241189e-004	4.497879e-003
9.500000000000003e-001	9.500000e-001	4.476846e-004	4.747761e-003
1.000000000000000e+000	1.000000e+000	4.712506e-004	4.997644e-003
1.050000000000000e+000	1.050000e+000	4.948171e-004	5.247526e-003
1.100000000000000e+000	1.100000e+000	5.183839e-004	5.497408e-003
1.150000000000000e+000	1.150000e+000	5.419510e-004	5.747290e-003
1.200000000000000e+000	1.200000e+000	5.655186e-004	5.997173e-003
1.250000000000000e+000	1.250000e+000	5.890865e-004	6.247055e-003
1.300000000000001e+000	1.300000e+000	6.126548e-004	6.496937e-003
1.350000000000001e+000	1.350000e+000	6.362235e-004	6.746819e-003
1.400000000000001e+000	1.400000e+000	6.597925e-004	6.996701e-003
1.450000000000001e+000	1.450000e+000	6.833619e-004	7.246583e-003
1.500000000000001e+000	1.500000e+000	7.069317e-004	7.496465e-003
1.550000000000001e+000	1.550000e+000	7.305018e-004	7.746348e-003
1.600000000000001e+000	1.600000e+000	7.540723e-004	7.996229e-003
1.650000000000001e+000	1.650000e+000	7.776432e-004	8.246112e-003
1.700000000000001e+000	1.700000e+000	8.012145e-004	8.495994e-003
1.750000000000001e+000	1.750000e+000	8.247861e-004	8.745876e-003
1.800000000000001e+000	1.800000e+000	8.483581e-004	8.995758e-003
1.850000000000001e+000	1.850000e+000	8.719305e-004	9.245641e-003
1.900000000000001e+000	1.900000e+000	8.955033e-004	9.495523e-003
1.950000000000001e+000	1.950000e+000	9.190764e-004	9.745405e-003
2.000000000000001e+000	2.000000e+000	9.426498e-004	9.995286e-003
2.050000000000001e+000	2.050000e+000	9.662237e-004	1.024517e-002
2.100000000000001e+000	2.100000e+000	9.897980e-004	1.049505e-002
2.150000000000000e+000	2.150000e+000	1.013373e-003	1.074493e-002
2.200000000000000e+000	2.200000e+000	1.036948e-003	1.099482e-002
2.250000000000000e+000	2.250000e+000	1.060523e-003	1.124470e-002
2.300000000000000e+000	2.300000e+000	1.084099e-003	1.149458e-002
2.350000000000000e+000	2.350000e+000	1.107675e-003	1.174446e-002
2.400000000000000e+000	2.400000e+000	1.131251e-003	1.199434e-002
2.449999999999999e+000	2.450000e+000	1.154828e-003	1.224423e-002
2.499999999999999e+000	2.500000e+000	1.178405e-003	1.249411e-002
2.549999999999999e+000	2.550000e+000	1.201983e-003	1.274399e-002
2.599999999999999e+000	2.600000e+000	1.225561e-003	1.299387e-002
2.649999999999999e+000	2.650000e+000	1.249139e-003	1.324375e-002
2.699999999999998e+000	2.700000e+000	1.272718e-003	1.349364e-002
2.749999999999998e+000	2.750000e+000	1.296297e-003	1.374352e-002
2.799999999999998e+000	2.800000e+000	1.319876e-003	1.399340e-002
2.849999999999998e+000	2.850000e+000	1.343456e-003	1.424328e-002
2.899999999999998e+000	2.900000e+000	1.367036e-003	1.449316e-002
2.949999999999998e+000	2.950000e+000	1.390617e-003	1.474305e-002
2.999999999999997e+000	3.000000e+000	1.414198e-003	1.499293e-002
3.049999999999997e+000	3.050000e+000	1.437779e-003	1.524281e-002
3.099999999999997e+000	3.100000e+000	1.461361e-003	1.549269e-002
3.149999999999997e+000	3.150000e+000	1.484943e-003	1.574258e-002
3.199999999999997e+000	3.200000e+000	1.508525e-003	1.599246e-002
3.249999999999996e+000	3.250000e+000	1.532108e-003	1.624234e-002
3.299999999999996e+000	3.300000e+000	1.555691e-003	1.649222e-002
3.349999999999996e+000	3.350000e+000	1.579275e-003	1.674210e-002
3.399999999999996e+000	3.400000e+000	1.602859e-003	1.699199e-002
3.449999999999996e+000	3.450000e+000	1.626443e-003	1.724187e-002
3.499999999999996e+000	3.500000e+000	1.650028e-003	1.749175e-002
3.549999999999995e+000	3.550000e+000	1.673613e-003	1.774163e-002
3.599999999999995e+000	3.600000e+000	1.697198e-003	1.799151e-002
3.649999999999995e+000	3.650000e+000	1.720784e-003	1.824140e-002
3.699999999999995e+000	3.700000e+000	1.744370e-003	1.849128e-002
3.749999999999995e+000	3.750000e+000	1.767956e-003	1.874116e-002
3.799999999999995e+000	3.800000e+000	1.791543e-003	1.899104e-002
3.849999999999994e+000	3.850000e+000	1.815131e-003	1.924093e-002
3.899999999999994e+000	3.900000e+000	1.838718e-003	1.949081e-002
3.949999999999994e+000	3.950000e+000	1.862306e-003	1.974069e-002
3.999999999999994e+000	4.000000e+000	1.885895e-003	1.999057e-002
4.049999999999994e+000	4.050000e+000	1.909483e-003	2.024045e-002
4.099999999999993e+000	4.100000e+000	1.933072e-003	2.049034e-002
4.149999999999993e+000	4.150000e+000	1.956662e-003	2.074022e-002
4.199999999999993e+000	4.200000e+000	1.980252e-003	2.099010e-002
4.249999999999993e+000	4.250000e+000	2.003842e-003	2.123998e-002
4.299999999999993e+000	4.300000e+000	2.027433e-003	2.148986e-002
4.349999999999993e+000	4.350000e+000	2.051024e-003	2.173975e-002
4.399999999999992e+000	4.400000e+000	2.074615e-003	2.198963e-002
4.449999999999992e+000	4.450000e+000	2.098207e-003	2.223951e-002
4.499999999999992e+000	4.500000e+000	2.121799e-003	2.248939e-002
4.549999999999992e+000	4.550000e+000	2.145391e-003	2.273927e-002
4.599999999999992e+000	4.600000e+000	2.168984e-003	2.298916e-002
4.649999999999992e+000	4.650000e+000	2.192577e-003	2.323904e-002
4.699999999999991e+000	4.700000e+000	2.216171e-003	2.348892e-002
4.749999999999991e+000	4.750000e+000	2.239765e-003	2.373880e-002
4.799999999999991e+000	4.800000e+000	2.263359e-003	2.398868e-002
4.849999999999991e+000	4.850000e+000	2.286954e-003	2.423857e-002
4.899999999999991e+000	4.900000e+000	2.310549e-003	2.448845e-002
4.949999999999990e+000	4.950000e+000	2.334145e-003	2.473833e-002
5.000000000000000e+000	5.000000e+000	2.357740e-003	2.498821e-002
Step Information: Vin=4.34  (Run: 3/3)
0.000000000000000e+000	0.000000e+000	2.422016e-030	-1.211008e-032
5.000000000000000e-002	5.000000e-002	1.623835e-005	2.499188e-004
1.000000000000000e-001	1.000000e-001	3.247694e-005	4.998376e-004
1.500000000000000e-001	1.500000e-001	4.871557e-005	7.497564e-004
2.000000000000000e-001	2.000000e-001	6.495433e-005	9.996752e-004
2.500000000000000e-001	2.500000e-001	8.119320e-005	1.249594e-003
3.000000000000000e-001	3.000000e-001	9.743218e-005	1.499513e-003
3.500000000000000e-001	3.500000e-001	1.136713e-004	1.749432e-003
4.000000000000000e-001	4.000000e-001	1.299105e-004	1.999350e-003
4.500000000000000e-001	4.500000e-001	1.461498e-004	2.249269e-003
4.999999999999999e-001	5.000000e-001	1.623893e-004	2.499188e-003
5.499999999999999e-001	5.500000e-001	1.786288e-004	2.749107e-003
6.000000000000000e-001	6.000000e-001	1.948685e-004	2.999026e-003
6.500000000000000e-001	6.500000e-001	2.111083e-004	3.248944e-003
7.000000000000001e-001	7.000000e-001	2.273482e-004	3.498863e-003
7.500000000000001e-001	7.500000e-001	2.435882e-004	3.748782e-003
8.000000000000002e-001	8.000000e-001	2.598283e-004	3.998701e-003
8.500000000000002e-001	8.500000e-001	2.760686e-004	4.248620e-003
9.000000000000002e-001	9.000000e-001	2.923089e-004	4.498539e-003
9.500000000000003e-001	9.500000e-001	3.085494e-004	4.748457e-003
1.000000000000000e+000	1.000000e+000	3.247900e-004	4.998376e-003
1.050000000000000e+000	1.050000e+000	3.410307e-004	5.248295e-003
1.100000000000000e+000	1.100000e+000	3.572716e-004	5.498214e-003
1.150000000000000e+000	1.150000e+000	3.735125e-004	5.748132e-003
1.200000000000000e+000	1.200000e+000	3.897535e-004	5.998051e-003
1.250000000000000e+000	1.250000e+000	4.059947e-004	6.247970e-003
1.300000000000001e+000	1.300000e+000	4.222360e-004	6.497889e-003
1.350000000000001e+000	1.350000e+000	4.384774e-004	6.747808e-003
1.400000000000001e+000	1.400000e+000	4.547189e-004	6.997726e-003
1.450000000000001e+000	1.450000e+000	4.709605e-004	7.247645e-003
1.500000000000001e+000	1.500000e+000	4.872023e-004	7.497564e-003
1.550000000000001e+000	1.550000e+000	5.034442e-004	7.747483e-003
1.600000000000001e+000	1.600000e+000	5.196861e-004	7.997402e-003
1.650000000000001e+000	1.650000e+000	5.359282e-004	8.247321e-003
1.700000000000001e+000	1.700000e+000	5.521704e-004	8.497239e-003
1.750000000000001e+000	1.750000e+000	5.684127e-004	8.747158e-003
1.800000000000001e+000	1.800000e+000	5.846552e-004	8.997077e-003
