time	V(vgs)	V(vo)
0.000000000000000e+000	0.000000e+000	5.000000e+000
9.999999999999983e-003	0.000000e+000	5.000000e+000
9.999999999999993e-003	0.000000e+000	5.000000e+000
1.000000000000001e-002	6.938894e-011	5.000000e+000
1.000000000000030e-002	1.517883e-009	5.000000e+000
1.000000000617830e-002	3.089150e-005	5.000000e+000
1.000000001235629e-002	6.178147e-005	5.000001e+000
1.000000001853429e-002	9.267144e-005	5.000001e+000
1.000000002471228e-002	1.235614e-004	5.000002e+000
1.000000003089028e-002	1.544514e-004	5.000003e+000
1.000000003706827e-002	1.853414e-004	5.000004e+000
1.000000004324627e-002	2.162313e-004	5.000005e+000
1.000000008649256e-002	4.324628e-004	5.000017e+000
1.000000013885210e-002	6.942605e-004	5.000041e+000
1.000000022140740e-002	1.107037e-003	5.000094e+000
1.000000032321690e-002	1.616084e-003	5.000183e+000
1.000000046883199e-002	2.344160e-003	5.000346e+000
1.000000065045885e-002	3.252294e-003	5.000589e+000
1.000000090179122e-002	4.508956e-003	5.000974e+000
1.000000122717040e-002	6.135852e-003	5.001516e+000
1.000000168997926e-002	8.449896e-003	5.002320e+000
1.000000234561389e-002	1.172807e-002	5.003461e+000
1.000000340006892e-002	1.700035e-002	5.005230e+000
1.000000527941820e-002	2.639709e-002	5.008128e+000
1.000000903811677e-002	4.519058e-002	5.013051e+000
1.000001655551390e-002	8.277757e-002	5.020335e+000
1.000003159030817e-002	1.579515e-001	5.028867e+000
1.000006165989670e-002	3.082995e-001	5.035857e+000
1.000012179907377e-002	6.089954e-001	5.039560e+000
1.000024207742790e-002	1.210387e+000	5.041977e+000
1.000030249786149e-002	1.512489e+000	5.022781e+000
1.000042333872865e-002	2.116694e+000	4.588240e+000
1.000045444096468e-002	2.272205e+000	3.773732e+000
1.000046961183235e-002	2.348059e+000	2.746712e+000
1.000047706329035e-002	2.385316e+000	2.003453e+000
1.000048438045439e-002	2.421902e+000	1.150641e+000
1.000048954432143e-002	2.447722e+000	4.770044e-001
1.000049178760785e-002	2.458938e+000	1.742623e-001
1.000049285505030e-002	2.464275e+000	5.697278e-002
1.000049319012609e-002	2.465951e+000	3.729266e-002
1.000049355185172e-002	2.467759e+000	2.888694e-002
1.000049377788286e-002	2.468889e+000	2.593494e-002
1.000049407523658e-002	2.470376e+000	2.355300e-002
1.000049442950791e-002	2.472147e+000	2.169736e-002
1.000049496925858e-002	2.474846e+000	1.996250e-002
1.000049551376907e-002	2.477569e+000	1.893101e-002
1.000049628975247e-002	2.481449e+000	1.809405e-002
1.000049715296677e-002	2.485765e+000	1.751224e-002
1.000049850394172e-002	2.492520e+000	1.687357e-002
1.000050014427248e-002	2.500721e+000	1.623522e-002
1.000050323544152e-002	2.516177e+000	1.519154e-002
1.000050791196655e-002	2.539560e+000	1.386078e-002
1.000051726501659e-002	2.586325e+000	1.178374e-002
1.000053032648322e-002	2.651632e+000	9.671818e-003
1.000054683292210e-002	2.734165e+000	7.857533e-003
1.000056807921266e-002	2.840396e+000	6.339408e-003
1.000059826733806e-002	2.991337e+000	4.995236e-003
1.000064232602994e-002	3.211630e+000	3.839294e-003
1.000071284430325e-002	3.564222e+000	2.831723e-003
1.000082966022549e-002	4.148301e+000	1.983919e-003
1.000100000000000e-002	5.000000e+000	1.297273e-003
1.000101703397745e-002	5.000000e+000	1.266357e-003
1.000105110193235e-002	5.000000e+000	1.249823e-003
1.000107722170572e-002	5.000000e+000	1.249822e-003
1.000110887061848e-002	5.000000e+000	1.249881e-003
1.000117216844400e-002	5.000000e+000	1.249839e-003
1.000124367084276e-002	5.000000e+000	1.249856e-003
1.000137007727628e-002	5.000000e+000	1.249838e-003
1.000155088999982e-002	5.000000e+000	1.249847e-003
1.000182195343044e-002	5.000000e+000	1.249840e-003
1.000225196547607e-002	5.000000e+000	1.249845e-003
1.000288404261183e-002	5.000000e+000	1.249842e-003
1.000387488127469e-002	5.000000e+000	1.249844e-003
1.000557290959012e-002	5.000000e+000	1.249843e-003
1.000892595773765e-002	5.000000e+000	1.249843e-003
1.001563205403270e-002	5.000000e+000	1.249843e-003
1.002904424662280e-002	5.000000e+000	1.249842e-003
1.005586863180301e-002	5.000000e+000	1.249841e-003
1.010951740216342e-002	5.000000e+000	1.249841e-003
1.990951740216336e-002	5.000000e+000	1.249842e-003
2.000100000000000e-002	5.000000e+000	1.251130e-003
2.001014825978366e-002	4.954259e+000	1.270544e-003
2.002844477935099e-002	4.862776e+000	1.313393e-003
2.006503781848565e-002	4.679811e+000	1.414067e-003
2.013822389675496e-002	4.313880e+000	1.683686e-003
2.023822389675496e-002	3.813880e+000	2.256772e-003
2.032280729095221e-002	3.390964e+000	3.109008e-003
2.038208110267674e-002	3.094594e+000	4.221883e-003
2.042353351917566e-002	2.887332e+000	5.669804e-003
2.045368401060302e-002	2.736580e+000	7.597794e-003
2.047665289919754e-002	2.621736e+000	1.025874e-002
2.049470052807328e-002	2.531497e+000	1.402729e-002
2.050902527903852e-002	2.459874e+000	1.938783e-002
2.052006736096560e-002	2.404663e+000	2.668387e-002
2.052769949335948e-002	2.366503e+000	3.509320e-002
2.053137266512852e-002	2.348137e+000	4.155451e-002
2.053362440884321e-002	2.336878e+000	4.742765e-002
2.053495420822804e-002	2.330229e+000	5.225240e-002
2.053580656409056e-002	2.325967e+000	5.663707e-002
2.053672281398996e-002	2.321386e+000	6.349503e-002
2.053721970368432e-002	2.318902e+000	7.070502e-002
2.053752061195122e-002	2.317397e+000	8.716893e-002
2.053768693117061e-002	2.316565e+000	1.162215e-001
2.053784642598201e-002	2.315768e+000	1.636335e-001
2.053796824019914e-002	2.315159e+000	2.044205e-001
2.053840201548077e-002	2.312990e+000	3.474138e-001
2.053898038252295e-002	2.310098e+000	5.310469e-001
2.054013711660731e-002	2.304314e+000	8.781792e-001
2.054192266181778e-002	2.295387e+000	1.370127e+000
2.054411354442079e-002	2.284432e+000	1.903071e+000
2.054712696016892e-002	2.269365e+000	2.539214e+000
2.054889765040401e-002	2.260512e+000	2.859285e+000
2.055118141228250e-002	2.249093e+000	3.210460e+000
2.055331123265121e-002	2.238444e+000	3.488531e+000
2.055644257117664e-002	2.222787e+000	3.822207e+000
2.056011999946367e-002	2.204400e+000	4.124840e+000
2.056536082940353e-002	2.178196e+000	4.429859e+000
2.057161537898466e-002	2.146923e+000	4.661329e+000
2.058012524369291e-002	2.104374e+000	4.833864e+000
2.059035248208083e-002	2.053238e+000	4.930185e+000
2.060415980944227e-002	1.984201e+000	4.977485e+000
2.062212772675549e-002	1.894361e+000	4.994520e+000
2.065002803257530e-002	1.754860e+000	4.999149e+000
2.069557627650673e-002	1.527119e+000	4.999906e+000
2.078667276436960e-002	1.071636e+000	4.999958e+000
2.097176422991353e-002	1.461789e-001	4.999961e+000
2.100100000000000e-002	4.440892e-015	5.000153e+000
2.100107563934600e-002	0.000000e+000	5.000064e+000
2.100122691803801e-002	0.000000e+000	4.999999e+000
2.100131078474870e-002	0.000000e+000	4.999997e+000
2.100143080006857e-002	0.000000e+000	5.000001e+000
2.100167083070830e-002	0.000000e+000	5.000000e+000
2.100215089198776e-002	0.000000e+000	5.000000e+000
2.492408645697029e-002	0.000000e+000	5.000000e+000
2.500000000000000e-002	0.000000e+000	5.000000e+000
