Freq.	V(vo)	V(n004)
5.00000000000000e+003	(-1.64796264981162e+001dB,-8.37342045287554e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.02307895139198e+003	(-1.64796341674536e+001dB,-8.41206574843857e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.04626443038342e+003	(-1.64796419077409e+001dB,-8.45088935780367e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.06955692868340e+003	(-1.64796497196343e+001dB,-8.48989210312898e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.09295694027059e+003	(-1.64796576037961e+001dB,-8.52907481035510e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.11646496140377e+003	(-1.64796655608948e+001dB,-8.56843830922230e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.14008149063237e+003	(-1.64796735916049e+001dB,-8.60798343328782e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.16380702880699e+003	(-1.64796816966073e+001dB,-8.64771101994344e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.18764207909007e+003	(-1.64796898765891e+001dB,-8.68762191043289e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.21158714696652e+003	(-1.64796981322439e+001dB,-8.72771694986949e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.23564274025450e+003	(-1.64797064642715e+001dB,-8.76799698725382e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.25980936911612e+003	(-1.64797148733783e+001dB,-8.80846287549142e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.28408754606830e+003	(-1.64797233602772e+001dB,-8.84911547141073e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.30847778599363e+003	(-1.64797319256878e+001dB,-8.88995563578098e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.33298060615129e+003	(-1.64797405703361e+001dB,-8.93098423333005e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.35759652618804e+003	(-1.64797492949550e+001dB,-8.97220213276271e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.38232606814918e+003	(-1.64797581002842e+001dB,-9.01361020677865e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.40716975648969e+003	(-1.64797669870701e+001dB,-9.05520933209086e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.43212811808533e+003	(-1.64797759560662e+001dB,-9.09700038944375e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.45720168224379e+003	(-1.64797850080326e+001dB,-9.13898426363175e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.48239098071593e+003	(-1.64797941437369e+001dB,-9.18116184351755e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.50769654770708e+003	(-1.64798033639535e+001dB,-9.22353402205098e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.53311891988834e+003	(-1.64798126694640e+001dB,-9.26610169628735e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.55865863640796e+003	(-1.64798220610573e+001dB,-9.30886576740638e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.58431623890281e+003	(-1.64798315395294e+001dB,-9.35182714073087e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.61009227150982e+003	(-1.64798411056839e+001dB,-9.39498672574570e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.63598728087756e+003	(-1.64798507603318e+001dB,-9.43834543611675e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.66200181617779e+003	(-1.64798605042914e+001dB,-9.48190418971001e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.68813642911716e+003	(-1.64798703383888e+001dB,-9.52566390861069e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.71439167394887e+003	(-1.64798802634575e+001dB,-9.56962551914242e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.74076810748442e+003	(-1.64798902803389e+001dB,-9.61378995188665e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.76726628910547e+003	(-1.64799003898821e+001dB,-9.65815814170201e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.79388678077564e+003	(-1.64799105929441e+001dB,-9.70273102774378e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.82063014705247e+003	(-1.64799208903897e+001dB,-9.74750955348355e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.84749695509936e+003	(-1.64799312830918e+001dB,-9.79249466672872e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.87448777469766e+003	(-1.64799417719314e+001dB,-9.83768731964245e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.90160317825866e+003	(-1.64799523577975e+001dB,-9.88308846876333e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.92884374083581e+003	(-1.64799630415875e+001dB,-9.92869907502543e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.95621004013688e+003	(-1.64799738242068e+001dB,-9.97452010377822e-001°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
5.98370265653623e+003	(-1.64799847065696e+001dB,-1.00205525248067e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.01132217308708e+003	(-1.64799956895982e+001dB,-1.00667973123517e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.03906917553391e+003	(-1.64800067742235e+001dB,-1.01132554451300e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.06694425232490e+003	(-1.64800179613852e+001dB,-1.01599279063547e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.09494799462435e+003	(-1.64800292520313e+001dB,-1.02068156837558e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.12308099632526e+003	(-1.64800406471190e+001dB,-1.02539197696007e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.15134385406192e+003	(-1.64800521476140e+001dB,-1.03012411607148e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.17973716722257e+003	(-1.64800637544911e+001dB,-1.03487808585024e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.20826153796207e+003	(-1.64800754687341e+001dB,-1.03965398689672e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.23691757121473e+003	(-1.64800872913359e+001dB,-1.04445192027336e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.26570587470710e+003	(-1.64800992232984e+001dB,-1.04927198750673e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.29462705897085e+003	(-1.64801112656330e+001dB,-1.05411429058968e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.32368173735578e+003	(-1.64801234193604e+001dB,-1.05897893198343e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.35287052604273e+003	(-1.64801356855105e+001dB,-1.06386601461972e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.38219404405674e+003	(-1.64801480651231e+001dB,-1.06877564190293e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.41165291328013e+003	(-1.64801605592473e+001dB,-1.07370791771222e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.44124775846569e+003	(-1.64801731689420e+001dB,-1.07866294640374e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.47097920724995e+003	(-1.64801858952760e+001dB,-1.08364083281273e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.50084789016647e+003	(-1.64801987393277e+001dB,-1.08864168225572e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.53085444065923e+003	(-1.64802117021857e+001dB,-1.09366560053274e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.56099949509604e+003	(-1.64802247849486e+001dB,-1.09871269392948e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.59128369278206e+003	(-1.64802379887252e+001dB,-1.10378306921951e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.62170767597335e+003	(-1.64802513146343e+001dB,-1.10887683366650e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.65227208989048e+003	(-1.64802647638055e+001dB,-1.11399409502643e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.68297758273224e+003	(-1.64802783373783e+001dB,-1.11913496154983e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.71382480568934e+003	(-1.64802920365032e+001dB,-1.12429954198402e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.74481441295829e+003	(-1.64803058623410e+001dB,-1.12948794557540e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.77594706175521e+003	(-1.64803198160634e+001dB,-1.13470028207163e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.80722341232978e+003	(-1.64803338988528e+001dB,-1.13993666172399e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.83864412797927e+003	(-1.64803481119027e+001dB,-1.14519719528962e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.87020987506260e+003	(-1.64803624564176e+001dB,-1.15048199403380e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.90192132301445e+003	(-1.64803769336129e+001dB,-1.15579116973230e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.93377914435947e+003	(-1.64803915447154e+001dB,-1.16112483467364e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.96578401472655e+003	(-1.64804062909634e+001dB,-1.16648310166146e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
6.99793661286312e+003	(-1.64804211736062e+001dB,-1.17186608401681e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.03023762064960e+003	(-1.64804361939052e+001dB,-1.17727389558054e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.06268772311380e+003	(-1.64804513531329e+001dB,-1.18270665071560e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.09528760844549e+003	(-1.64804666525740e+001dB,-1.18816446430945e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.12803796801097e+003	(-1.64804820935248e+001dB,-1.19364745177641e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
