Freq.	V(vo)
5.00000000000000e+003	(5.66960607168378e+001dB,-8.98709510233236e+001°)
5.02307895139198e+003	(5.66560610579983e+001dB,-8.98719540761917e+001°)
5.04626443038342e+003	(5.66160613955839e+001dB,-8.98729544135965e+001°)
5.06955692868340e+003	(5.65760617296234e+001dB,-8.98739520567516e+001°)
5.09295694027059e+003	(5.65360620601449e+001dB,-8.98749470268134e+001°)
5.11646496140377e+003	(5.64960623871767e+001dB,-8.98759393448817e+001°)
5.14008149063237e+003	(5.64560627107463e+001dB,-8.98769290320000e+001°)
5.16380702880699e+003	(5.64160630308813e+001dB,-8.98779161091560e+001°)
5.18764207909007e+003	(5.63760633476088e+001dB,-8.98789005972822e+001°)
5.21158714696652e+003	(5.63360636609557e+001dB,-8.98798825172560e+001°)
5.23564274025450e+003	(5.62960639709486e+001dB,-8.98808618899005e+001°)
5.25980936911612e+003	(5.62560642776138e+001dB,-8.98818387359848e+001°)
5.28408754606830e+003	(5.62160645809772e+001dB,-8.98828130762244e+001°)
5.30847778599363e+003	(5.61760648810646e+001dB,-8.98837849312816e+001°)
5.33298060615129e+003	(5.61360651779015e+001dB,-8.98847543217661e+001°)
5.35759652618804e+003	(5.60960654715130e+001dB,-8.98857212682353e+001°)
5.38232606814918e+003	(5.60560657619241e+001dB,-8.98866857911948e+001°)
5.40716975648969e+003	(5.60160660491594e+001dB,-8.98876479110988e+001°)
5.43212811808533e+003	(5.59760663332432e+001dB,-8.98886076483506e+001°)
5.45720168224379e+003	(5.59360666141997e+001dB,-8.98895650233030e+001°)
5.48239098071593e+003	(5.58960668920526e+001dB,-8.98905200562586e+001°)
5.50769654770708e+003	(5.58560671668257e+001dB,-8.98914727674704e+001°)
5.53311891988834e+003	(5.58160674385420e+001dB,-8.98924231771421e+001°)
5.55865863640796e+003	(5.57760677072248e+001dB,-8.98933713054289e+001°)
5.58431623890281e+003	(5.57360679728968e+001dB,-8.98943171724372e+001°)
5.61009227150982e+003	(5.56960682355806e+001dB,-8.98952607982258e+001°)
5.63598728087756e+003	(5.56560684952984e+001dB,-8.98962022028058e+001°)
5.66200181617779e+003	(5.56160687520722e+001dB,-8.98971414061412e+001°)
5.68813642911716e+003	(5.55760690059239e+001dB,-8.98980784281495e+001°)
5.71439167394887e+003	(5.55360692568749e+001dB,-8.98990132887018e+001°)
5.74076810748442e+003	(5.54960695049466e+001dB,-8.98999460076234e+001°)
5.76726628910547e+003	(5.54560697501600e+001dB,-8.99008766046941e+001°)
5.79388678077564e+003	(5.54160699925359e+001dB,-8.99018050996489e+001°)
5.82063014705247e+003	(5.53760702320949e+001dB,-8.99027315121782e+001°)
5.84749695509936e+003	(5.53360704688573e+001dB,-8.99036558619281e+001°)
5.87448777469766e+003	(5.52960707028431e+001dB,-8.99045781685010e+001°)
5.90160317825866e+003	(5.52560709340723e+001dB,-8.99054984514561e+001°)
5.92884374083581e+003	(5.52160711625644e+001dB,-8.99064167303097e+001°)
5.95621004013688e+003	(5.51760713883388e+001dB,-8.99073330245354e+001°)
5.98370265653623e+003	(5.51360716114147e+001dB,-8.99082473535649e+001°)
6.01132217308708e+003	(5.50960718318110e+001dB,-8.99091597367883e+001°)
6.03906917553391e+003	(5.50560720495463e+001dB,-8.99100701935541e+001°)
6.06694425232490e+003	(5.50160722646392e+001dB,-8.99109787431703e+001°)
6.09494799462435e+003	(5.49760724771080e+001dB,-8.99118854049044e+001°)
6.12308099632526e+003	(5.49360726869705e+001dB,-8.99127901979837e+001°)
6.15134385406192e+003	(5.48960728942448e+001dB,-8.99136931415961e+001°)
6.17973716722257e+003	(5.48560730989482e+001dB,-8.99145942548901e+001°)
6.20826153796207e+003	(5.48160733010982e+001dB,-8.99154935569756e+001°)
6.23691757121473e+003	(5.47760735007119e+001dB,-8.99163910669238e+001°)
6.26570587470710e+003	(5.47360736978063e+001dB,-8.99172868037682e+001°)
6.29462705897085e+003	(5.46960738923980e+001dB,-8.99181807865045e+001°)
6.32368173735578e+003	(5.46560740845037e+001dB,-8.99190730340914e+001°)
6.35287052604273e+003	(5.46160742741395e+001dB,-8.99199635654505e+001°)
6.38219404405674e+003	(5.45760744613216e+001dB,-8.99208523994674e+001°)
6.41165291328013e+003	(5.45360746460659e+001dB,-8.99217395549914e+001°)
6.44124775846569e+003	(5.44960748283880e+001dB,-8.99226250508364e+001°)
6.47097920724995e+003	(5.44560750083033e+001dB,-8.99235089057810e+001°)
6.50084789016647e+003	(5.44160751858273e+001dB,-8.99243911385690e+001°)
6.53085444065923e+003	(5.43760753609748e+001dB,-8.99252717679099e+001°)
6.56099949509604e+003	(5.43360755337608e+001dB,-8.99261508124792e+001°)
6.59128369278206e+003	(5.42960757041999e+001dB,-8.99270282909187e+001°)
6.62170767597335e+003	(5.42560758723066e+001dB,-8.99279042218370e+001°)
6.65227208989048e+003	(5.42160760380951e+001dB,-8.99287786238100e+001°)
6.68297758273224e+003	(5.41760762015796e+001dB,-8.99296515153811e+001°)
6.71382480568934e+003	(5.41360763627738e+001dB,-8.99305229150616e+001°)
6.74481441295829e+003	(5.40960765216915e+001dB,-8.99313928413314e+001°)
6.77594706175521e+003	(5.40560766783461e+001dB,-8.99322613126389e+001°)
6.80722341232978e+003	(5.40160768327509e+001dB,-8.99331283474018e+001°)
6.83864412797927e+003	(5.39760769849190e+001dB,-8.99339939640074e+001°)
6.87020987506260e+003	(5.39360771348634e+001dB,-8.99348581808126e+001°)
6.90192132301445e+003	(5.38960772825967e+001dB,-8.99357210161451e+001°)
6.93377914435947e+003	(5.38560774281315e+001dB,-8.99365824883029e+001°)
6.96578401472655e+003	(5.38160775714801e+001dB,-8.99374426155553e+001°)
6.99793661286312e+003	(5.37760777126547e+001dB,-8.99383014161431e+001°)
