vi	V(vd1)	V(vo)	I(Red)
-1.000000000000000e+001	-3.224998e-008	-1.347791e+001	-1.348791e-011
-9.990000000000000e+000	-3.224529e-008	-1.347791e+001	-1.348791e-011
-9.980000000000000e+000	-3.224060e-008	-1.347791e+001	-1.348791e-011
-9.970000000000001e+000	-3.223591e-008	-1.347791e+001	-1.348791e-011
-9.960000000000001e+000	-3.223122e-008	-1.347790e+001	-1.348790e-011
-9.950000000000001e+000	-3.222653e-008	-1.347790e+001	-1.348790e-011
-9.940000000000001e+000	-3.222184e-008	-1.347790e+001	-1.348790e-011
-9.930000000000002e+000	-3.221715e-008	-1.347790e+001	-1.348790e-011
-9.920000000000002e+000	-3.221245e-008	-1.347790e+001	-1.348790e-011
-9.910000000000002e+000	-3.220777e-008	-1.347790e+001	-1.348790e-011
-9.900000000000002e+000	-3.220308e-008	-1.347790e+001	-1.348790e-011
-9.890000000000002e+000	-3.219838e-008	-1.347790e+001	-1.348790e-011
-9.880000000000003e+000	-3.219369e-008	-1.347789e+001	-1.348789e-011
-9.870000000000003e+000	-3.218900e-008	-1.347789e+001	-1.348789e-011
-9.860000000000003e+000	-3.218431e-008	-1.347789e+001	-1.348789e-011
-9.850000000000003e+000	-3.217962e-008	-1.347789e+001	-1.348789e-011
-9.840000000000003e+000	-3.217493e-008	-1.347789e+001	-1.348789e-011
-9.830000000000004e+000	-3.217024e-008	-1.347789e+001	-1.348789e-011
-9.820000000000004e+000	-3.216555e-008	-1.347789e+001	-1.348789e-011
-9.810000000000004e+000	-3.216086e-008	-1.347789e+001	-1.348789e-011
-9.800000000000004e+000	-3.215617e-008	-1.347788e+001	-1.348788e-011
-9.790000000000005e+000	-3.215148e-008	-1.347788e+001	-1.348788e-011
-9.780000000000005e+000	-3.214678e-008	-1.347788e+001	-1.348788e-011
-9.770000000000005e+000	-3.214209e-008	-1.347788e+001	-1.348788e-011
-9.760000000000005e+000	-3.213740e-008	-1.347788e+001	-1.348788e-011
-9.750000000000005e+000	-3.213271e-008	-1.347788e+001	-1.348788e-011
-9.740000000000006e+000	-3.212802e-008	-1.347788e+001	-1.348788e-011
-9.730000000000006e+000	-3.212333e-008	-1.347788e+001	-1.348788e-011
-9.720000000000006e+000	-3.211864e-008	-1.347787e+001	-1.348787e-011
-9.710000000000006e+000	-3.211395e-008	-1.347787e+001	-1.348787e-011
-9.700000000000006e+000	-3.210926e-008	-1.347787e+001	-1.348787e-011
-9.690000000000007e+000	-3.210457e-008	-1.347787e+001	-1.348787e-011
-9.680000000000007e+000	-3.209988e-008	-1.347787e+001	-1.348787e-011
-9.670000000000007e+000	-3.209519e-008	-1.347787e+001	-1.348787e-011
-9.660000000000007e+000	-3.209049e-008	-1.347787e+001	-1.348787e-011
-9.650000000000008e+000	-3.208580e-008	-1.347787e+001	-1.348787e-011
-9.640000000000008e+000	-3.208111e-008	-1.347787e+001	-1.348787e-011
-9.630000000000008e+000	-3.207642e-008	-1.347786e+001	-1.348786e-011
-9.620000000000008e+000	-3.207173e-008	-1.347786e+001	-1.348786e-011
-9.610000000000008e+000	-3.206704e-008	-1.347786e+001	-1.348786e-011
-9.600000000000009e+000	-3.206235e-008	-1.347786e+001	-1.348786e-011
-9.590000000000009e+000	-3.205766e-008	-1.347786e+001	-1.348786e-011
-9.580000000000009e+000	-3.205297e-008	-1.347786e+001	-1.348786e-011
-9.570000000000009e+000	-3.204828e-008	-1.347786e+001	-1.348786e-011
-9.560000000000009e+000	-3.204359e-008	-1.347786e+001	-1.348785e-011
-9.550000000000010e+000	-3.203889e-008	-1.347785e+001	-1.348785e-011
-9.540000000000010e+000	-3.203420e-008	-1.347785e+001	-1.348785e-011
