ipd	V(vo)
-5.000000000000000e-007	5.000440e+000
-4.900000000000000e-007	4.900440e+000
-4.800000000000000e-007	4.800441e+000
-4.700000000000000e-007	4.700441e+000
-4.599999999999999e-007	4.600441e+000
-4.499999999999999e-007	4.500442e+000
-4.399999999999999e-007	4.400442e+000
-4.299999999999999e-007	4.300443e+000
-4.199999999999999e-007	4.200443e+000
-4.099999999999999e-007	4.100444e+000
-3.999999999999999e-007	4.000444e+000
-3.899999999999999e-007	3.900445e+000
-3.799999999999999e-007	3.800445e+000
-3.699999999999999e-007	3.700445e+000
-3.599999999999998e-007	3.600446e+000
-3.499999999999998e-007	3.500446e+000
-3.399999999999998e-007	3.400447e+000
-3.299999999999998e-007	3.300447e+000
-3.199999999999998e-007	3.200448e+000
-3.099999999999998e-007	3.100448e+000
-2.999999999999998e-007	3.000448e+000
-2.899999999999998e-007	2.900449e+000
-2.799999999999998e-007	2.800449e+000
-2.699999999999997e-007	2.700450e+000
-2.599999999999997e-007	2.600450e+000
-2.499999999999997e-007	2.500451e+000
-2.399999999999997e-007	2.400451e+000
-2.299999999999997e-007	2.300452e+000
-2.199999999999997e-007	2.200452e+000
-2.099999999999997e-007	2.100452e+000
-1.999999999999997e-007	2.000453e+000
-1.899999999999997e-007	1.900453e+000
-1.799999999999997e-007	1.800454e+000
-1.699999999999996e-007	1.700454e+000
-1.599999999999996e-007	1.600455e+000
-1.499999999999996e-007	1.500455e+000
-1.399999999999996e-007	1.400455e+000
-1.299999999999996e-007	1.300456e+000
-1.199999999999996e-007	1.200456e+000
-1.099999999999996e-007	1.100457e+000
-9.999999999999960e-008	1.000457e+000
-8.999999999999960e-008	9.004576e-001
-7.999999999999961e-008	8.004580e-001
-6.999999999999961e-008	7.004585e-001
-5.999999999999961e-008	6.004589e-001
-4.999999999999961e-008	5.004593e-001
-3.999999999999962e-008	4.004598e-001
-2.999999999999962e-008	3.004602e-001
-1.999999999999962e-008	2.004606e-001
-9.999999999999620e-009	1.004611e-001
3.805030817743927e-022	4.615003e-004
1.000000000000038e-008	-9.953807e-002
2.000000000000038e-008	-1.995376e-001
3.000000000000038e-008	-2.995372e-001
4.000000000000039e-008	-3.995368e-001
5.000000000000038e-008	-4.995363e-001
6.000000000000038e-008	-5.995359e-001
7.000000000000038e-008	-6.995354e-001
8.000000000000037e-008	-7.995350e-001
9.000000000000037e-008	-8.995346e-001
1.000000000000004e-007	-9.995341e-001
1.100000000000004e-007	-1.099534e+000
1.200000000000004e-007	-1.199533e+000
1.300000000000004e-007	-1.299533e+000
1.400000000000004e-007	-1.399532e+000
1.500000000000004e-007	-1.499532e+000
1.600000000000004e-007	-1.599532e+000
1.700000000000004e-007	-1.699531e+000
1.800000000000004e-007	-1.799531e+000
1.900000000000004e-007	-1.899530e+000
2.000000000000004e-007	-1.999530e+000
2.100000000000005e-007	-2.099529e+000
2.200000000000005e-007	-2.199529e+000
2.300000000000005e-007	-2.299528e+000
2.400000000000005e-007	-2.399528e+000
2.500000000000005e-007	-2.499528e+000
2.600000000000005e-007	-2.599527e+000
2.700000000000005e-007	-2.699527e+000
2.800000000000005e-007	-2.799526e+000
2.900000000000005e-007	-2.899526e+000
3.000000000000005e-007	-2.999525e+000
3.100000000000005e-007	-3.099525e+000
3.200000000000005e-007	-3.199525e+000
3.300000000000006e-007	-3.299524e+000
3.400000000000006e-007	-3.399524e+000
3.500000000000006e-007	-3.499523e+000
3.600000000000006e-007	-3.599523e+000
3.700000000000006e-007	-3.699522e+000
3.800000000000006e-007	-3.799522e+000
3.900000000000006e-007	-3.899522e+000
4.000000000000006e-007	-3.999521e+000
4.100000000000006e-007	-4.099521e+000
4.200000000000006e-007	-4.199520e+000
4.300000000000007e-007	-4.299520e+000
4.400000000000007e-007	-4.399519e+000
4.500000000000007e-007	-4.499519e+000
4.600000000000007e-007	-4.599518e+000
4.700000000000007e-007	-4.699518e+000
4.800000000000007e-007	-4.799518e+000
4.900000000000007e-007	-4.899517e+000
5.000000000000000e-007	-4.999516e+000
