#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2024-02-01 11:03:42.560
#Sample rate: 3.33333e+07Hz
#Samples: 4096

Time (s),Vin,Inv1,Inv2,Inv3
-7.899e-05,0,1,0,0
-7.896e-05,0,1,0,0
-7.893e-05,0,1,0,0
-7.890000000000001e-05,0,1,0,0
-7.887000000000001e-05,0,1,0,0
-7.884e-05,0,1,0,0
-7.881e-05,0,1,0,0
-7.878e-05,0,1,0,0
-7.875e-05,0,1,0,0
-7.872000000000001e-05,0,1,0,0
-7.869000000000001e-05,0,1,0,0
-7.866000000000001e-05,0,1,0,0
-7.863e-05,0,1,0,0
-7.86e-05,0,1,0,0
-7.857e-05,0,1,0,0
-7.854e-05,0,1,0,0
-7.851000000000001e-05,0,1,0,0
-7.848000000000001e-05,0,1,0,0
-7.845000000000001e-05,0,1,0,0
-7.842e-05,0,1,0,0
-7.839e-05,0,1,0,0
-7.836e-05,0,1,0,0
-7.833e-05,0,1,0,0
-7.830000000000001e-05,0,1,0,0
-7.827000000000001e-05,0,1,0,0
-7.824e-05,0,1,0,0
-7.821e-05,0,1,0,0
-7.818e-05,0,1,0,0
-7.815e-05,0,1,0,0
-7.812e-05,0,1,0,0
-7.809000000000001e-05,0,1,0,0
-7.806000000000001e-05,0,1,0,0
-7.803e-05,0,1,0,0
-7.8e-05,0,1,0,0
-7.797e-05,0,1,0,0
-7.794e-05,0,1,0,0
-7.791e-05,0,1,0,0
-7.788000000000001e-05,0,1,0,0
-7.785000000000001e-05,0,1,0,0
-7.782e-05,0,1,0,0
-7.779e-05,0,1,0,0
-7.776e-05,0,1,0,0
-7.773e-05,0,1,0,0
-7.77e-05,0,1,0,0
-7.767000000000001e-05,0,1,0,0
-7.764000000000001e-05,0,1,0,0
-7.761e-05,0,1,0,0
-7.758e-05,0,1,0,0
-7.755e-05,0,1,0,0
-7.752e-05,0,1,0,0
-7.749000000000001e-05,0,1,0,0
-7.746000000000001e-05,0,1,0,0
-7.743000000000001e-05,0,1,0,0
-7.74e-05,0,1,0,0
-7.737e-05,0,1,0,0
-7.734e-05,0,1,0,0
-7.731e-05,0,1,0,0
-7.728000000000001e-05,0,1,0,0
-7.725000000000001e-05,0,1,0,0
-7.722000000000001e-05,0,1,0,0
-7.719e-05,0,1,0,0
-7.716e-05,0,1,0,1
-7.713e-05,0,1,0,1
-7.71e-05,0,1,0,1
-7.707000000000001e-05,0,1,0,1
-7.704000000000001e-05,0,1,0,1
-7.701e-05,0,1,0,1
-7.698e-05,0,1,0,1
-7.695e-05,0,1,0,1
-7.692e-05,0,1,0,1
-7.689e-05,0,1,0,1
-7.686000000000001e-05,0,1,0,1
-7.683000000000001e-05,0,1,0,1
-7.68e-05,0,1,0,1
-7.677e-05,0,0,0,1
-7.674e-05,0,0,0,1
-7.671e-05,0,0,0,1
-7.668e-05,0,0,0,1
-7.665000000000001e-05,0,0,0,1
-7.662000000000001e-05,0,0,0,1
-7.659e-05,0,0,0,1
-7.656e-05,0,0,0,1
-7.653e-05,0,0,0,1
-7.65e-05,0,0,0,1
-7.647e-05,0,0,0,1
-7.644000000000001e-05,0,0,0,1
-7.641000000000001e-05,0,0,0,1
-7.638e-05,0,0,0,1
-7.635e-05,0,0,0,1
-7.632e-05,0,0,0,1
-7.629e-05,0,0,0,1
-7.626000000000001e-05,0,0,0,1
-7.623000000000001e-05,0,0,0,1
-7.620000000000001e-05,0,0,0,1
-7.617e-05,0,0,0,1
-7.614e-05,0,0,0,1
-7.611e-05,0,0,0,1
-7.608e-05,0,0,0,1
-7.605000000000001e-05,0,0,0,1
-7.602000000000001e-05,0,0,0,1
-7.599000000000001e-05,0,0,0,1
-7.596e-05,0,0,0,1
-7.593e-05,0,0,0,1
-7.59e-05,0,0,0,1
-7.587e-05,0,0,0,1
-7.584000000000001e-05,0,0,0,1
-7.581000000000001e-05,0,0,0,1
-7.578e-05,0,0,0,1
-7.575e-05,0,0,0,1
-7.572e-05,0,0,0,1
-7.569e-05,0,0,0,1
-7.566e-05,0,0,0,1
-7.563000000000001e-05,0,0,0,1
-7.560000000000001e-05,0,0,0,1
-7.557e-05,0,0,0,1
-7.554e-05,0,0,0,1
