Time (s),Vin,Inv1,Inv2,Inv3
-0.001018,1,0,1,0
-0.001018,1,0,1,0
-0.0010175,1,0,1,0
-0.001017,0,0,1,0
-0.0010165,0,0,1,0
-0.001016,0,0,1,0
-0.0010155,0,1,1,0
-0.001015,0,1,1,0
-0.0010145,0,1,1,0
-0.001014,0,1,1,0
-0.0010135,0,1,1,0
-0.001013,0,1,1,0
-0.0010125,0,1,1,0
-0.001012,0,1,1,0
-0.0010115,0,1,0,0
-0.001011,0,1,0,0
-0.0010105,0,1,0,0
-0.00101,0,1,0,0
-0.0010095,0,1,0,0
-0.001009,0,1,0,0
-0.0010085,0,1,0,0
-0.001008,0,1,0,0
-0.0010075,0,1,0,0
-0.001007,0,1,0,0
-0.0010065,0,1,0,0
-0.001006,0,1,0,1
-0.0010055,0,1,0,1
-0.001005,0,1,0,1
-0.0010045,0,1,0,1
-0.001004,0,1,0,1
-0.0010035,0,1,0,1
-0.001003,0,1,0,1
-0.0010025,0,1,0,1
-0.001002,0,1,0,1
-0.0010015,0,1,0,1
-0.001001,0,1,0,1
-0.0010005,0,1,0,1
-0.001,0,1,0,1
-0.0009995,0,1,0,1
-0.0009990000000000001,0,1,0,1
-0.0009985,0,1,0,1
-0.000998,0,1,0,1
-0.0009974999999999999,0,1,0,1
-0.0009970000000000001,1,1,0,1
-0.0009965,1,0,0,1
-0.0009959999999999999,1,0,0,1
-0.0009955000000000001,1,0,0,1
-0.000995,1,0,0,1
-0.0009944999999999999,1,0,0,1
-0.0009940000000000001,1,0,1,1
-0.0009935,1,0,1,1
-0.000993,1,0,1,1
-0.0009924999999999999,1,0,1,1
-0.000992,1,0,1,1
-0.0009915,1,0,1,1
-0.0009909999999999999,1,0,1,1
-0.0009905000000000001,1,0,1,0
-0.00099,1,0,1,0
-0.0009894999999999999,1,0,1,0
-0.0009890000000000001,1,0,1,0
-0.0009885,1,0,1,0
-0.0009879999999999999,1,0,1,0
-0.0009875000000000001,1,0,1,0
-0.000987,1,0,1,0
-0.0009865,1,0,1,0
-0.0009859999999999999,1,0,1,0
-0.0009855,1,0,1,0
-0.000985,1,0,1,0
-0.0009844999999999999,1,0,1,0
-0.0009840000000000001,1,0,1,0
-0.0009835,1,0,1,0
-0.0009829999999999999,1,0,1,0
-0.0009825000000000001,1,0,1,0
-0.000982,1,0,1,0
-0.0009815,1,0,1,0
-0.0009810000000000001,1,0,1,0
-0.0009805,1,0,1,0
-0.00098,1,0,1,0
-0.0009794999999999999,1,0,1,0
-0.0009790000000000001,1,0,1,0
-0.0009785,1,0,1,0
-0.0009779999999999999,1,0,1,0
-0.0009775000000000001,1,0,1,0
-0.000977,0,0,1,0
-0.0009765,0,0,1,0
-0.000976,0,0,1,0
-0.0009755,0,1,1,0
-0.000975,0,1,1,0
-0.0009745,0,1,1,0
-0.000974,0,1,1,0
-0.0009735,0,1,1,0
-0.000973,0,1,1,0
-0.0009724999999999999,0,1,1,0
-0.000972,0,1,1,0
-0.0009715,0,1,0,0
-0.000971,0,1,0,0
-0.0009705,0,1,0,0
-0.0009700000000000001,0,1,0,0
-0.0009695,0,1,0,0
-0.000969,0,1,0,0
-0.0009685,0,1,0,0
-0.000968,0,1,0,0
-0.0009675,0,1,0,0
-0.000967,0,1,0,0
-0.0009665,0,1,0,0
-0.000966,0,1,0,1
-0.0009655,0,1,0,1
-0.000965,0,1,0,1
-0.0009645,0,1,0,1
-0.000964,0,1,0,1
-0.0009634999999999999,0,1,0,1
-0.000963,0,1,0,1
-0.0009625,0,1,0,1
-0.000962,0,1,0,1
-0.0009615,0,1,0,1
-0.000961,0,1,0,1
-0.0009605,0,1,0,1
-0.00096,0,1,0,1
-0.0009595,0,1,0,1
-0.000959,0,1,0,1
-0.0009585,0,1,0,1
-0.000958,0,1,0,1
-0.0009575,0,1,0,1
-0.000957,1,1,0,1
-0.0009565,1,0,0,1
-0.000956,1,0,0,1
-0.0009555,1,0,0,1
-0.000955,1,0,0,1
-0.0009545000000000001,1,0,0,1
-0.000954,1,0,1,1
-0.0009535,1,0,1,1
-0.000953,1,0,1,1
-0.0009525,1,0,1,1
-0.000952,1,0,1,1
-0.0009515,1,0,1,1
-0.000951,1,0,1,1
-0.0009505,1,0,1,0
-0.00095,1,0,1,0
-0.0009495,1,0,1,0
-0.000949,1,0,1,0
-0.0009485,1,0,1,0
-0.0009479999999999999,1,0,1,0
-0.0009475,1,0,1,0
-0.000947,1,0,1,0
-0.0009465,1,0,1,0
-0.000946,1,0,1,0
-0.0009455000000000001,1,0,1,0
-0.000945,1,0,1,0
-0.0009445,1,0,1,0
-0.000944,1,0,1,0
-0.0009435,1,0,1,0
-0.000943,1,0,1,0
-0.0009425,1,0,1,0
-0.000942,1,0,1,0
-0.0009415,1,0,1,0
-0.000941,1,0,1,0
-0.0009405,1,0,1,0
-0.00094,1,0,1,0
-0.0009395,1,0,1,0
-0.0009389999999999999,1,0,1,0
-0.0009385,1,0,1,0
-0.000938,1,0,1,0
-0.0009375,1,0,1,0
-0.000937,0,0,1,0
-0.0009365,0,0,1,0
-0.000936,0,0,1,0
-0.0009355,0,1,1,0
-0.000935,0,1,1,0
-0.0009345,0,1,1,0
-0.000934,0,1,1,0
-0.0009335,0,1,1,0
-0.000933,0,1,1,0
-0.0009325,0,1,1,0
-0.000932,0,1,1,0
-0.0009315,0,1,0,0
-0.000931,0,1,0,0
-0.0009305,0,1,0,0
-0.0009300000000000001,0,1,0,0
-0.0009295,0,1,0,0
-0.000929,0,1,0,0
-0.0009285,0,1,0,0
-0.000928,0,1,0,0
-0.0009275,0,1,0,0
-0.000927,0,1,0,0
-0.0009265,0,1,0,0
-0.000926,0,1,0,1
-0.0009255,0,1,0,1
-0.000925,0,1,0,1
-0.0009245,0,1,0,1
